ticker,company,price,marketCap,need,r1_score,reason
AAVXF,ABIVAX Société Anonyme,80.03,6982921728.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AGMB,AgomAb Therapeutics NV American Depositary Shares,14.02,690456640.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ALT,Altimmune Inc. Common Stock,3.2,622456640.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ANRO,Alto Neuroscience Inc. Common Stock,36.31,1424880896.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,37.46,4173907200.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ANNX,Annexon Inc. Common Stock,5.15,976332544.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
APGE,Apogee Therapeutics Inc. Common Stock,134.85,10206491648.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ARTV,Artiva Biotherapeutics Inc. Common Stock,11.77,575436736.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ATTO,Attovia Therapeutics Inc. Common Stock,19.31,880130818.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AURA,Aura Biosciences Inc. Common Stock,7.82,810971648.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AUTL,Autolus Therapeutics plc American Depositary Share,2.44,649436608.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AVTX,Avalo Therapeutics Inc. Common Stock,19.74,1058655936.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
AVLN,Avalyn Pharma Inc. Common Stock,38.2,1693524352.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BLTE,Belite Bio Inc American Depositary Shares,161.68,6511199744.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BCAX,Bicara Therapeutics Inc. Common Stock,24.58,1626530816.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BRCTF,BioArctic AB (publ),31.78,2819664384.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BOVNF,BioInvent International AB (publ),3.2886,216404224.0,health,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BLSM,BlossomHill Therapeutics Inc. Common Stock,18.42,535674976.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BRVE,Braveheart Bio Inc. Common Stock,27.64,1952844416.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
BBOT,BridgeBio Oncology Therapeutics Inc. Common Stock  ,9.37,751232832.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
CABA,Cabaletta Bio Inc. Common Stock,3.22,545936320.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
CADL,Candel Therapeutics Inc. Common Stock,13.6,1040652544.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
CLYM,Climb Bio Inc. Common Stock,17.84,1024662784.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
CTNM,Contineum Therapeutics Inc. Class A Common Stock,17.05,641440256.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
HELP,Cybin Inc. Common Stock,13.985,1021746560.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
CYDY,CytoDyn Inc.,0.24,328736064.0,health,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
DBVTF,DBV Technologies S.A.,4.26,1338615808.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
DBVT,DBV Technologies S.A. American Depositary Shares,14.97,940801792.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
DNTH,Dianthus Therapeutics Inc. Common Stock,112.11,6270802944.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
DYN,Dyne Therapeutics Inc. Common Stock,26.34,4918901248.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ELVN,Enliven Therapeutics Inc. Common Stock,61.01,4470248960.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ENTX,Entera Bio Ltd. Ordinary Shares,3.47,600802112.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
FTH,Faeth Therapeutics Inc. Common Stock,34.52,892011456.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
