ticker,price,marketcap,need,permanent_need,system_balance,cost_compression,moat,proven_functions,scale_velocity,expansion_signal,survivability,total,verdict,reason,grp,px
WRTBY,6.7,19.8B,grid balancing power and marine propulsion,13,13,12,12,9,8,9,8,84,ADVANCE,Record orders; installed-base service moat; balancing engines enable renewable grids,7,6.7
TMRAY,~10 (TOM ~103 NOK),~$3.2B (32.3B NOK),container-loop closure,13,14,11,12,9,8,9,8,84,ADVANCE,80% RVM share; legislation wave (Poland/UK DRS); true exportable circular platform,3,10.0
WSIOF,2.21,2.3B,smart metering AMI China plus emerging markets,13,12,13,10,9,9,9,8,83,ADVANCE,Profit +45%; top State Grid winner; Mexico CFE win; global AMI expansion,4,2.21
DLEGF,8.0,94.2B,AI data center and EV power electronics,13,12,12,11,9,9,8,8,82,ADVANCE,Q2 revenue +51%; NVIDIA 800VDC power leader; margin squeeze bears watching,4,8.0
TSNLF,5.67,270M,chlorine dioxide high-level disinfection consumables,13,12,13,11,9,6,8,9,81,ADVANCE,Patented ClO2 replaces capex reprocessors; profitable recurring model; US FDA ramp underway,11,5.67
CRMD,7.85,620M,dialysis catheter infection prevention,13,12,11,12,9,8,8,7,80,ADVANCE,Only approved catheter lock; profitable fast ramp; prevents costly infections; post-TDAPA reimbursement risk,11,7.85
SHLS,6.8,1.2B,solar EBOS plug-and-play wiring,12,13,13,10,8,8,9,7,80,ADVANCE,Record $801M backlog; book-to-bill 1.3; patent moat; US policy risk,4,6.8
TDVXF,8.53,905M,speech-generating devices for communication disabilities,13,14,10,12,8,7,8,8,80,ADVANCE,Dominant AAC leader; reimbursement moat; EBIT up 137% with 16% ccy growth,9,8.53
YMM,8.81,9150000000,road freight matching,12,13,13,11,9,6,7,7,78,ADVANCE,Empty-haul rate cut 39% to 35%; profitable network; China risk caps score,2,8.81
CLPBY,6.7,$15.3B,ostomy and continence care consumables,14,12,10,12,10,5,6,9,78,ADVANCE,Life-sustaining daily consumables; sticky users; decades of high-margin profitability,12,6.7
KMDA,8.38,490M,specialty hyperimmune plasma therapies,13,12,9,11,9,7,7,9,77,ADVANCE,Profitable dividend-paying niche hyperimmunes; record growth; small scale but durable,11,8.38
PEJMF,0.67,450M,TAVR valves and stroke neurointervention China,13,12,12,10,7,8,8,7,77,ADVANCE,First profit; TAVR implants +36%; only on-label AR valve; VBP and rivalry risks,11,0.67
BB,7.77,4.5B,safety-certified embedded OS for vehicles medical & industrial systems,12,10,11,11,8,8,9,8,77,ADVANCE,QNX is real infrastructure not legacy; +26% growth; $1B royalty backlog; certification moat,13,7.77
SBDHF,8.9,$1.6B,infrastructure life extension,14,13,12,11,9,4,4,9,76,ADVANCE,Repair-over-rebuild circularity; 17pct net margins prove niche moat; decades of aging-asset demand,6,8.9
BMBRF,5.75,9.44B,lowest-cost food retail,14,10,13,9,9,6,8,7,76,ADVANCE,Hard-discount cost leader; affordable food access; proven Morocco-Egypt replication; Turkish FX risk,5,5.75
CERS,2.75,550M,pathogen inactivation making donated blood safe & resilient,13,12,10,12,8,6,8,6,75,ADVANCE,Near-monopoly pathogen-reduction standard of care; consumables model; RBC approval a large catalyst,13,2.75
SCTTF,1.68,141M,food processing automation,12,11,12,10,8,6,8,7,74,ADVANCE,Differentiated protein automation; record FY26; backlog +8%; labor-scarcity tailwind,7,1.68
ADMA,9.54,2.25B,plasma-derived immunoglobulins for immunodeficiency,13,11,9,11,9,6,6,9,74,ADVANCE,ASCENIV +25% and profitable with buybacks; standard IG pricing war cut guidance,11,9.54
BIRMF,~2.80 (C$3.85),~$44M (C$60M),biological air/odor cleanup,12,11,11,8,8,7,9,7,73,ADVANCE,Record $75.5M backlog; revenue +66%; profitable biofiltration platform hardening wastewater/biogas systems,3,2.8
ENGCF,8.5,1.06B,excavator efficiency attachments,11,10,12,10,8,7,7,8,73,ADVANCE,Global tiltrotator leader; proven machine-hour compression; long low-penetration runway outside Nordics,5,8.5
CODYY,9.58,$46.4B,building materials efficiency,13,11,10,10,9,4,6,9,72,ADVANCE,Global leader in insulation and light construction; energy-saving renovation demand; strong FCF; slow growth,6,9.58
DMTRF,3.96,507M,absorbable peptide hemostats for endoscopy & surgery,12,10,9,10,8,8,8,6,71,ADVANCE,Peptide hemostat platform scaling globally; newly profitable; revenue up ~7x in four years,13,3.96
