ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue,verdict,reason_r2,totalCash,totalDebt,freeCashflow,operatingCashflow,totalRevenue,revenueGrowth,grossMargins,operatingMargins,debtToEquity,sharesOutstanding,floatShares,fullTimeEmployees,earningsGrowth,r3_fin_score,r3_notes,r3_cut
ABLZF,ABB Ltd,98.7,178878398464.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Europe, the Americas, Asia, the Middle East, and Africa. The company operates through Electrification, Motion, and Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Automation segment offers industry-specific, integrated automation, electrification and digital solutions, as well as lifecycle services for the process, hybrid and marine industries. This segment also provides control technologies; process, machine and factory automation; industrial software; advanced analytics; sensing and measurement technology; and marine propulsion systems; services such as remote monitoring, preventive maintenance, asset performance management, emission monitoring and cybersecurity. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, fo",Electrical Equipment & Parts,0.142,0.40247002,35752001536.0,A,electrification and automation raise grid and industrial efficiency,5856999936.0,9146000384.0,1570499968.0,5904999936.0,35752001536.0,0.142,0.40247002,0.16908,55.751,1812344570.0,1813983600.0,111900.0,0.082,21,,
AEHR,Aehr Test Systems Common Stock,95.59,3118188816.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,,,,,,,A,"wafer-level burn-in test for EV/power semis, proprietary systems",,,,,,,,,,,,,,10,growth unknown,
APH,Amphenol Corporation Common Stock,158.78,195773104128.0,United States,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including high speed, radio frequency, power, fiber optic and other interconnect products; busbars and power distribution systems; power interconnect products; and other products. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, commercial aerospace, communications networks, defense, industrial, information technology and data communications, mobile devices markets. Additionally, the company provides telecommunication and IT networking solutions. The company w",Electronic Components,0.55,0.38952,29011599360.0,B,differentiated interconnects but mixed consumer and military markets,5419100160.0,18811299840.0,3818374912.0,5871699968.0,29011599360.0,0.55,0.38952,0.29779,120.415,1232983457.0,1224956735.0,170000.0,0.593,23,,
BKWAF,BKW AG,165.96,8757784576.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"BKW AG, an energy and infrastructure company, plans, builds, and operates infrastructure to produce and supply energy to businesses, households, and the public sector in Switzerland, Germany, Italy, France, and internationally. It operates in three segments: Energy Solutions, Power Grid, and Infrastructure & Buildings. The Energy Solutions segment builds, operates, and maintains its portfolio of power plants. This segment also sells energy; trades in electricity, certificates, and raw materials; and offers wind, solar, and smart energy services. Its Power Grid segment builds, operates, and maintains the company's distribution grid. The Infrastructure and Buildings segment offers engineering planning and consulting services for energy, infrastructure, and environmental projects; integrated building technology solutions; and construction and maintenance services in the fields of energy, telecommunications, transport and water utility networks. It also provides digital business models for renewable energy. The company was formerly known as BKW FMB Energie AG and changed its name to BKW AG in December 2011. BKW AG was founded in 1898 and is headquartered in Bern, Switzerland.",Utilities - Renewable,0.009,0.47604,4220400128.0,B,multi-country grid and energy infrastructure but utility-heavy mix,816099968.0,1888600064.0,169600000.0,646800000.0,4220400128.0,0.009,0.47604,0.11269,31.646,52770453.0,19720913.0,12592.0,0.079,17,,
DLEGF,Delta Electronics (Thailand) Public Company Limited,8.0,100448485376.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Delta Electronics (Thailand) Public Company Limited, together with its subsidiaries, researches and develops, manufactures, and distributes electronic products. The company operates through four segments: Power Electronics, Mobility, Infrastructure, and Automation. It offers inductors, RF inductors, transformers, networking products, EMI filters, solenoids, current sensing resistors, and power modules; power and system products, such as USB socket outlets, medical power, industrial power supplies, industrial battery charging, high voltage power, embedded power, and adapters; DC brushless fans and blowers, motors, thermal management products, cabinet thermal solutions, indoor air quality solutions, and automotive fans; EV powertrain systems; and display and visualization, mobile power, industrial power, and medical power products, as well as healthcare devices. The company also provides building automation products comprising building management and control system, LED lighting, smart surveillance, indoor air quality, healthy lighting, and building energy management system products; industrial automation products; data center, telecom power systems, networking systems, and UPS and datacenter infrastructure solutions; EV charging and energy storage systems, renewable energy, industrial battery charging, healthcare devices, industrial equipment, energy IoT, and display and visualization products; and visual display and smart education solutions. In addition, it offers industrial",Electrical Equipment & Parts,0.474,0.29038,238129168384.0,A,power electronics cut energy losses across infrastructure and mobility,18196889600.0,4281541120.0,6131665920.0,30685278208.0,238129168384.0,0.474,0.29038,0.09873,4.062,0.0,4720092027.0,,0.324,21,,
FOJCY,Fortum Oyj,4.75,21310029824.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"Fortum Oyj, together with its subsidiaries, engages in the generation and sale of electricity and heat to private and business customers in Finland, Sweden, Norway, Poland, and internationally. It operates through Generation, Consumer Solutions, and Other Operations segments. The Generation segment offers low-carbon hydro, nuclear, onshore wind, and solar power generation; district heating and cooling; and decarbonization services. The Consumer Solutions segment offers invoicing and customer services; electricity and related value-added products; and digital services for consumers, including small- and medium-sized enterprises. It is also involved in the electricity and gas retail business; power trading and energy supply services; industrial site development; and battery recycling activities. The company was formerly known as IVO-Neste Yhtymä Oyj and changed its name to Fortum Oyj in June 1998. Fortum Oyj was incorporated in 1998 and is headquartered in Espoo, Finland.",Utilities - Renewable,0.154,0.39424,5488999936.0,B,low-carbon Nordic generation but commodity power sales,2172999936.0,3905999872.0,785374976.0,863000000.0,5488999936.0,0.154,0.39424,0.0952,47.478,4486322325.0,2063349364.0,4636.0,0.048,21,,
HUBB,Hubbell Inc Common Stock,464.19,24524351488.0,United States,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electrical Equipment & Parts,"Hubbell Incorporated, together with its subsidiaries, manufactures and sells electrical and utility solutions in the United States and internationally. It operates through two segments, Electrical Solutions and Utility Solutions. The Utility Solution segment offers critical components that allow the grid to transmit and distribute energy, as well as the communications and controls technologies, including  utility transmission and distribution components, such as arresters, insulators, connectors, anchors, bushings, enclosures, cutouts, and switches; and solutions that serve the edge of the utility infrastructure comprising smart meters, communications systems, and protection and control devices. It sells its products under various brands and/or trademarks to the electrical distribution, substation and transmission markets, as well as markets for grid protection and controls, utility meters and advanced metering infrastructure and telcom and gas distribution markets. The Electrical Solution segment offers standard and special application wiring device products, rough-in electrical products, connector and grounding products, and other electrical equipment for use in industrial, commercial, and institutional facilities by electrical contractors, maintenance personnel, electricians, utilities, and telecommunications companies. It also designs and manufactures various industrial controls, and communication systems for use in the non-residential and industrial markets, as well as i",Electrical Equipment & Parts,0.153,0.35338002,6223600128.0,A,grid components and automation strengthen transmission distribution,394700000.0,5556599808.0,495812512.0,1068200000.0,6223600128.0,0.153,0.35338002,0.21666999,141.642,52832571.0,52574748.0,19400.0,-0.009,21,,
ITRI,Itron Inc. Common Stock,98.73,4323066368.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,Scientific & Technical Instruments,"Itron, Inc., a technology, solutions, and service company, provides end-to-end solutions that help manage energy, water, and smart city operations worldwide. It operates in four segments: Device Solutions, Networked Solutions, Outcomes, and Resiliency Solution. The Device Solutions segment offers hardware products that are used for measurement, control, or sensing, such as standard gas, electricity, water, and communicating meters, as well as heat and allocation products. The Networked Solutions segment provides communicating devices, such as smart meters, modules, endpoints, and sensors; network infrastructure; network design services; and associated heat-end management and application software for acquiring and transporting application-specific data. This segment also products and software for the implementation, installation, and management of communicating devices and data networks; offers industrial internet of things solutions, including automated meter reading; advanced metering infrastructure for electricity, water, and gas; distributed energy resource management; grid edge devices; distribution automation communications; smart lighting; and smart city sensors and applications. The Outcomes segment provides value-added, enhanced software and services, artificial intelligence, and machine learning, statistical modeling, and other analytics. The Resiliency Solutions segment offers software and services. The company offers implementation, project management, installation",Scientific & Technical Instruments,-0.072,0.39869,2303165952.0,A,smart meters cut energy and water waste,745228992.0,1601334016.0,295262240.0,410742016.0,2303165952.0,-0.072,0.39869,0.13455,97.754,43786753.0,43006473.0,4987.0,-0.19,13,revenue shrinking -7%,
LGRDY,Legrand SA,31.84,41730371584.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Legrand SA, together with its subsidiaries, manufactures, distributes, and sells electrical and digital building infrastructures in Europe, North and Central America, and internationally. The company offers energy distribution, protection, and management solutions, such as electric vehicle charging, residential and small commercial panels, switchboards and power cabinets, and UPS devices; and wiring devices, connected home and building control solutions, and guestroom solutions, as well as flush-mounted, junction, DCL, and floor boxes. It also provides security, communication, and network solutions, including access security, digital home networks, emergency lighting, fire alarms, IT networks, intercom and door entry, and nurse call systems; conduits and cable management solutions comprising trunking, mini-trunking, skirting trunking, ducts, tubes, floor boxes, columns and feeders, and workstation solutions; industrial products, which comprises industrial enclosures and connections, transformers and power supply, marking accessories and cable ties, motor control and protection, fuse protection, and industrial plugs and sockets, as well as control, button, and signaling products; and installation accessories, including wiring accessories, extension cords, multi-outlet units, cable ties and fasteners, and connection boxes and terminals; and lighting products and accessories, as well as bulkhead lights and wall lights. In addition, the company offers single-phase UPS, three-phas",Electrical Equipment & Parts,0.147,0.50189996,10106600448.0,A,building electrical infrastructure lowers energy cost per outcome,1970899968.0,7724400128.0,1031037504.0,1567399936.0,10106600448.0,0.147,0.50189996,0.19048001,102.554,1310627185.0,1299316850.0,40931.0,0.085,22,,
LFUS,Littelfuse Inc. Common Stock,405.39,10296398848.0,United States,Energy,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Littelfuse, Inc. designs, manufactures, and sells electronic components, modules, and subassemblies. It operates through three segments: Electronics, Transportation, and Industrial. Its Electronics segment offers fuses and fuse accessories, coefficient resettable fuses, switches and interconnect solutions, polymer electrostatic discharge suppressors, varistors, reed switch based magnetic sensing, and gas discharge tubes; and discrete transient voltage suppressor diodes, TVS diode arrays, protection and switching thyristors, silicon and silicon carbide metal-oxide-semiconductor field effect transistors and diodes, and insulated gate bipolar transistors. This segment serves data center computing and communications infrastructure, industrial controls, building controls, aerospace and defense, appliances, consumer electronics solutions, healthcare solutions, industrial equipment, energy storage, diversified industrials, grid and utility infrastructure, passenger vehicles, and commercial vehicles. Its Transportation segment provides blade, resettable, high-current, and high-voltage fuses; battery cable protectors; circuit breakers, and power distribution modules; and sensor products. This segment serves heavy-duty truck and bus, construction, agriculture, off-road and recreational vehicles, material handling, passenger and commercial vehicles, and marine markets. Its Industrial segment offers industrial fuses, protection relays, contactors, transformers, residual current devices a",Electronic Components,0.204,0.39343,2614323968.0,A,circuit protection makes electrical systems safer more resilient,630603008.0,709393024.0,364767136.0,512012992.0,2614323968.0,0.204,0.39343,0.18799,27.093,25398747.0,25072627.0,18000.0,0.517,21,,
