ticker,verdict,reason
TGTX,B,commercial MS antibody yet single-product premium pricing
TVTX,B,commercial rare kidney drugs without cost-efficiency evidence
TRVI,C,clinical-stage single unproven chronic cough asset
TLSI,C,stagnant commercialization of niche delivery device
TSMRF,B,large Kampo maker; efficacy evidence mixed
TWST,A,synthetic DNA platform compresses research cost per gene
UCBJY,B,diversified commercial neurology pharma without cost compression
RARE,B,commercial rare-disease portfolio but negative margins
QURE,C,pipeline hinges on unproven Huntington gene therapy
UTHR,B,real PAH franchise but flat premium-priced revenue
URGN,A,non-surgical bladder cancer treatment replaces repeat surgery
VERA,C,clinical-stage binary Phase 3 bet
VCEL,B,commercial cell therapy niche; cost benefit unclear
VRTX,A,disease-modifying CF platform cuts hospitalizations and transplants
VETOF,B,diversified animal health with flat growth
VTRS,A,generics and biosimilars at scale cut drug cost
VRBCF,B,mixed companion-farm animal health without differentiation evidence
VRDN,C,pre-approval antibody pipeline single binary indication
VANI,C,clinical-stage implants no revenue
WEAV,C,generic practice-communication SaaS not care delivery
WXXWY,A,biologics CDMO platform lowers industry manufacturing cost
XNCR,C,royalty plus pipeline with deeply negative economics
XENE,C,zero-revenue Phase 3 binary neuroscience bet
YDES,C,vague early-stage detection and exosome story
ZLAB,C,in-licensing model thin margins shrinking revenue
ZLDPY,C,revenue contracting; value rests on partnered pipeline
ZBIO,C,clinical-stage single lead antibody
ZTS,B,animal health leader but half companion-pet mix
FDMT,C,no verifiable description
FDMDF,C,no verifiable description
ACRS,C,no verifiable description
AHCO,C,no verifiable description
ANL,C,no verifiable description
AKTS,C,Phase 1 radiopharmaceutical moonshot
AGYTF,B,allergen immunotherapy treats root cause; subscale
ALLO,C,clinical-stage CAR-T no approved product
ALVO,A,biosimilar platform cuts biologic drug costs
AMPH,A,generic injectables and rescue drugs cut treatment cost
ANAB,C,clinical-stage immunology with shrinking royalty revenue
ANIP,B,generics plus high-priced legacy brand mix
APMD,C,single unapproved sleep-apnea candidate
AQST,B,film reformulations improve delivery; modest differentiation
ABUS,C,clinical hepatitis pipeline revenue collapsed
ARDX,B,commercial GI-kidney drugs without cost compression story
AVBP,C,clinical-stage oncology single lead
SPRY,A,needle-free epinephrine widens emergency anaphylaxis access
ARVN,C,clinical PROTAC platform no approved product
ASPHF,C,described clinical-stage China oncology pipeline unproven
AAPG,C,duplicate listing; clinical-stage oncology pipeline unproven
ASCLF,C,stagnant tiny revenue commercialization
ASMB,C,Phase 1 antiviral pipeline only
BPMUF,A,commercial antifungal-antibiotic maker strengthens infection resilience
BJTRF,C,contracting traditional-medicine retailer unverified efficacy
THOXF,C,contracting revenue subscale diagnostics
DRUG,C,clinical-stage Phase 2 neurology pipeline
CCCC,C,clinical-stage degrader pipeline
CRTHF,B,approved CAR-T in China; bespoke costly modality
CSWYF,C,contracting TCM injections unverified efficacy
CHIZF,C,contracting TCM granule maker
CIRC,C,IT staffing firm not health need
CLRPF,C,clinical-stage radiopharmaceuticals
COLL,C,opioid and stimulant franchise addiction-risk economics
CPHGF,C,TCM-centered renal products unverified differentiation
CRMD,A,catheter lock prevents costly dialysis bloodstream infections
CRVS,C,clinical-stage immunology
CMOPF,B,AI polyp detection real but revenue flat
