ticker,sector,industry,summary,cap,price,revGrowth,grossM,cash,debt,fcf,revenue
AEHR,Technology,Semiconductor Equipment & Materials,"Aehr Test Systems, Inc. provides test solutions for testing, burn-in, and semiconductor devices at wafer level, singulated die, and package level in the United States, Asia, Europe, and the Middle East. The company offers FOX-XP and FOX-NP systems, which are full wafer contact and singulated die/module test and burn-in systems that test, burn-in, and stabilize a range of devices, including silicon carbide-based (SIC) and gallium nitride (GAN) power semiconductors; 2D and 3D sensors used in mobil",2989990656.0,91.66,0.337,0.35301,116358000.0,9882000.0,-1955375.0,50001000.0
AES,Utilities,Utilities - Diversified,"The AES Corporation, together with its subsidiaries, operates as a power generation and utility company. It operates through four segments: Renewables, Utilities, Energy Infrastructure, and New Energy Technologies. The company owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries; owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residen",10505384960.0,14.725,0.199,0.2027,1852999936.0,32942999552.0,-3089125120.0,13054000128.0
ABZPF,Utilities,Utilities - Regulated Electric,"Aboitiz Power Corporation, through its subsidiaries, engages in the power generation and distribution, and electricity retail businesses in the Philippines. It operates through Power Generation, Power Distribution, and Retail Electricity Supply, and Parent and Others segments. The company operates hydropower, geothermal, solar, coal, and oil-based power plants. It supplies its electricity through power supply contracts, ancillary service procurement agreements, and trading in the wholesale elect",4611746816.0,0.64,0.454,0.32299998,62658310144.0,325625217024.0,-7309519360.0,226516893696.0
AAVVF,Energy,Oil & Gas E&P,"Advantage Energy Ltd., together with its subsidiaries, engages in the acquisition, exploitation, development, and production natural gas, crude oil, and natural gas liquids (NGLs) in the Province of Alberta, Canada. Advantage Energy Ltd. was formerly known as Advantage Oil & Gas Ltd. and changed its name to Advantage Energy Ltd. in May 2021. The company was founded in 2001 and is headquartered in Calgary, Canada.",1347857536.0,8.05,0.192,0.5789,50023000.0,976489024.0,-136745248.0,666368000.0
UNEGF,Energy,Oil & Gas E&P,"United Energy Group Limited, an investment holding company, engages in the upstream oil, natural gas, clean energy, and energy trading businesses in Hong Kong, Pakistan, Singapore, Egypt, Iraq, and the United Arab Emirates. It operates through three segments: Exploration and Production, Trading, and Clean Energy Business. The company is involved in trading of energy products, including petrochemicals; exploration, development, and production of crude oil and natural gas; development and operatio",1889469440.0,0.0735,0.187,0.17618,4319029248.0,3831794944.0,1314322560.0,19191269376.0
AGRO,Consumer Defensive,Farm Products,"Adecoagro S.A., engages in agricultural and agro-industrial activities in Argentina, Brazil, Chile, and Uruguay. The company operates through three segments: Sugar, Ethanol and Energy, Fertilizers and Farming. The company is involved in the production of a range of agricultural commodities, including soybean, corn, wheat, peanut, sunflower, cotton, and others; planting, harvesting, processing, and marketing of white, brown, and rough rice; genetic development of seeds; and production of dairy pr",1610476928.0,11.16,0.39,0.2591,330507008.0,2334685952.0,-128340872.0,1649838976.0
TXG,Healthcare,Health Information Services,"10x Genomics, Inc. develops and sells instruments, consumables, and software for analyzing biological systems in the United States, rest of the Americas, Europe, the Middle East, Africa, China, and the rest of the Asia Pacific. The company offers Chromium platform, a single cell portfolio that enables analysis of individual biological components, as well as includes microfluidic chips and related consumables, Chromium X Series, and Chromium instruments; and QuantumScale single cell RNA and singl",8339937792.0,64.01,-0.127,0.70112,552033024.0,78796000.0,179656000.0,616910976.0
MMM,Industrials,Conglomerates,"3M Company provides diversified technology services in the America, the Asia Pacific, Europe, the Middle East, Africa, and internationally. It operates through three segments: Safety and Industrial, Transportation and Electronics, and Consumer. The Safety and Industrial segment provides industrial abrasives and finishing for metalworking applications; autobody repair solutions; industrial specialty products, such as personal hygiene products, masking, and packaging materials; electrical products",92365889536.0,179.1,0.025,0.39408,5303000064.0,13159999488.0,6350125056.0,25180000256.0
A,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates through three segments: Life Sciences and Diagnostics Markets, Agilent CrossLab, and Applied Markets. The Life Sciences and Diagnostics Markets segment offers liquid chromatography systems and components; and liquid chromatography mass spectrometry systems. This segment is also involved in the genomics, contract development and manufact",43172544512.0,152.86,0.1,0.52641,1807000064.0,3542000128.0,930625024.0,7232000000.0
ACHC,Healthcare,Medical Care Facilities,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company owns and operates acute inpatient psychiatric facilities; specialty treatment facilities comprising residential recovery facilities and eating disorder facilities; comprehensive treatment centers; and residential treatment centers, as well as facilities providing outpatient behavioral healthcare services for the behavioral healthcare and recovery needs of communities. Acadia ",2902866432.0,31.18,-0.004,0.41057,171290000.0,2587631104.0,-104957000.0,3367673088.0
