ticker,price,marketCap,latest_quarter,catalyst,total,why_watch,px,need,company
NTRA,338.45,48.8B,Q2 2026 rev $752.8M +37.7% y/y; 1.04M tests +22%; op margin -10.1% vs -20.2% prior yr; FY26 guide raised to ~$2.88B,Signatera MRD coverage/indication expansions plus Q3 print early Nov 2026 with operating leverage inflecting toward profitability,89.0,MRD liquid-biopsy category leader compounding ~38% at scale; stock jumped 16.3% on the Aug 6 beat-and-raise,338.45,prenatal + cancer recurrence cfDNA testing,Natera Inc. Common Stock
TSM,417.69,2.17T,Q2 2026 rev $40.2B +33.7% y/y; gross margin 67.7%; net income +77% y/y; Q3 guided to $44.6-45.8B,N2 (2nm) volume ramp in H2 2026 and FY26 revenue growth outlook raised to >40% on AI demand; Q3 report mid-Oct,89.0,The compute substrate of civilization with monopoly economics at the leading edge; only Taiwan concentration caps the score,417.69,leading-edge semiconductor fabrication,Taiwan Semiconductor Manufacturing Company Ltd.
INPOY,8.96,9.1B,Q1 2026 solid volume/revenue growth but group EBITDA -4% on UK transformation costs; little new detail while under offer,None forward - EUR15.60/share take-private by FedEx/Advent/A&R/PPF cleared EU antitrust Aug 18 2026; offer extended to Sep 18 2026; close expected H2 2026,86.0,DISQUALIFY - delisting imminent so nothing to watch; correction: R4 price of 18.0 was the EUR-ordinary equivalent - the US ADR is ~2 ADR per share and trades 8.96 (already below $10),8.96,out-of-home parcel delivery,InPost S.A.
WAB,300.54,50.8B,Q2 2026 rev $3.18B +17.5%; adj EPS $2.76 +21.6%; backlog record $30.9B +42%; FY26 guidance raised to $12.3-12.6B rev and $10.60-10.90 EPS,Conversion of record backlog under freshly raised FY26 guidance; Q3 print late Oct 2026,86.0,Locomotive/rail-equipment duopoly hitting record highs on beat-and-raise; global platform beats capex-bound rails,300.54,locomotives and rail equipment,Westinghouse Air Brake Technologies Corporation Common Stock
UNP,310.62,184.5B,Q2 2026 record quarter - rev +11.5% y/y; net income $2B; EPS $3.41 beat by $0.15; operating ratio improved,STB review of the $85B Norfolk Southern merger resumed Aug 20 2026 with a decision expected into 2027 - first US transcontinental railroad if approved,85.0,Best-in-class western rail executing at records with transcontinental merger optionality attached,310.62,western US freight rail,Union Pacific Corporation Common Stock
LGRDY,31.95,41.8B,H1 2026 organic sales +9.8% (+17.4% ex-currency); data center demand +30% globally; margins holding ~21%,FY26 sales growth outlook raised to 16-19% from 10-15% with data center growth guided 25-30%; H2 driven by DC capex cycle,85.0,Standards-locked low-voltage electrical infrastructure with an accelerating data-center kicker now ~1/3 of sales,31.95,low-voltage electrical and data center infrastructure,Legrand SA
AHICF,21.41,6.5B,FY6/26 (reported Aug 14 2026) sales Y145.4B +21.2%; operating profit Y45.2B +50.3%; net profit +152%; dividend doubled,FY27 guide of +11% sales and +18% profit plus raised 2030 mid-term targets and new Japan distribution deal for an intrasaccular occlusion device,85.0,Craft monopoly in CTO guidewires just posted a record year; note the F-share prints thinly and staleness is common - track the 7747.T line (~Y3685),21.41,minimally invasive vascular access,"Asahi Intecc Co., Ltd."
TMRAY,$11.83 (26 Aug 2026; ~11% premium to TOM.OL NOK108.4),~NOK32.1B (~$3.2B; US quote $3.48B at ADR premium),,Q3 results 23 Oct 2026; UK DRS deliveries start Q4 2026 peak 2027; Poland ramp plus Portugal/Romania scaling; Recycling order intake turned +40%; potential Mining divestment to cut debt,85.0,~80% RVM share riding a legislated global deposit-return wave; ~3900 UK machines contracted of a ~25000-machine market; installed base converts to service annuity as each DRS matures,11.83,container-loop closure,Tomra Systems ASA
WST,353.27,25.5B,Q2 2026 organic revenue +12.7% y/y; adj EPS +29%; FY26 guidance raised to 10.5% organic growth and 23% EPS growth,GLP-1 and biologics fill-finish demand driving high-value product mix; raised FY26 guidance with Q3 print late Oct 2026,84.0,Spec-locked into injectable drug filings; up 38% since March on accelerating high-value demand yet still the field's cheapest quality compounder,353.27,injectable drug containment components,West Pharmaceutical Services Inc. Common Stock
GH,170.92,22.9B,Q2 2026 revenue $335.0M +44%; Shield volume ~66k tests (vs 16k yr ago); FY26 guide raised to $1.34-1.36B,Shield CRC screening ramp after ACS guideline inclusion and first commercial coverage from UnitedHealth; screening guide raised to $218-230M,84.0,FDA-approved blood CRC screen scaling >250% with oncology base growing 38%; clearest liquid-biopsy platform story above $10,170.92,cancer blood screening/monitoring,Guardant Health Inc. Common Stock
BSY,36.94,11.5B,Q2 2026 revenue $410.7M +12.8%; ARR $1.536B (+12% cc; accelerating); adj EPS $0.35; FCF $63.8M,AI/digital-twin product cycle (asset analytics; AI design copilots) pushing constant-currency ARR growth past 12%,84.0,Mission-critical infrastructure engineering software with accelerating ARR and decades-long switching-cost moat on public-works spending wave,36.94,infrastructure engineering software,Bentley Systems Incorporated Class B Common Stock
TOELY,172.20,158.3B,Q1 FY2027 record sales JPY 732.3B (+2.9% qoq); op margin 28.9%; H1 guide raised to JPY 1.62T (+37% yoy),AI datacenter capex supercycle; management sees CY2026 WFE $150B+ and CY2027 $190B+; Q2 FY27 report late Oct 2026,84.0,Near-monopoly coater/developer and top-tier etch/deposition franchise riding the AI WFE upcycle with record backlog of demand,172.2,semiconductor production equipment,Tokyo Electron Limited
BOEUF,~24.0 (BONEX SEK 228.20; OTC last print 23.49 stale),~$1.6B (SEK 15.0B),Q2 2026 sales SEK 355.7M +25% (+30% cc); adj op margin 29%; op cash flow SEK 67M; FY26 guide trimmed to 33-36% cc from ~40%,FY2027 Medicare IPPS rule improves CERAMENT G inpatient payment from Oct 2026; easing of temporary pre-approval restrictions at top US accounts,83.0,Antibiotic-eluting bone graft that turns amputation-risk bone infections into curable cases at ~91% gross margin; now profitable and self-funding,24.0,antibiotic-eluting bone graft curing bone infection,Bonesupport Holding AB (publ)
