ticker,price,marketcap,need,permanent_need,system_balance,cost_compression,moat,proven_functions,scale_velocity,expansion_signal,survivability,total,verdict,reason,grp
CP,94.71,83190000000,three-nation freight rail,13,13,12,14,9,6,8,8,83,ADVANCE,Only single-line Canada-US-Mexico network; record volumes; UP-NS merger risk looms,01
CNI,127.54,76710000000,three-coast freight rail,13,13,12,13,9,6,7,8,81,ADVANCE,Three-coast network; beat-and-raise Q2; cheapest major rail; slower structural growth,01
CSX,51.76,95880000000,eastern US freight rail,13,13,12,12,9,6,8,7,80,CUT,Strong Q2 but strategically orphaned if UP-NS approved; 49% run-up on quashed takeout hopes,01
NSC,352.68,79210000000,eastern US freight rail,13,12,11,12,9,5,7,7,76,CUT,Pending UP acquisition makes it merger-arb not compounder; worst-in-class OR,01
UNP,310.62,184530000000,western US freight rail,14,13,13,14,9,6,8,8,85,ADVANCE,Best-in-class OR 59.2%; record intermodal; transcontinental merger upside with execution risk,01
WAB,300.54,50760000000,locomotives and rail equipment,13,13,13,13,9,8,9,8,86,ADVANCE,Record $30.9B backlog +42%; locomotive duopoly; global platform beats capex-bound rails,01
VOSSY,7.05,1300000000,rail track infrastructure components,13,13,11,11,8,6,7,7,76,CUT,2026 guidance cut; EBIT margin compressing to ~6.7%; illiquid ADR small cap,01
ALSMY,1.91,8740000000,trains and transit systems,13,14,10,10,8,6,6,7,74,CUT,Dilution history; ~6% EBIT margin; FCF swings; weak pricing power vs Siemens/CRRC,01
INPOY,18.0,8900000000,out-of-home parcel delivery,13,13,14,12,9,9,9,7,86,ADVANCE,Locker density cuts last-mile cost 25%; 800 vs 100 parcels per shift,02
YMM,8.81,9150000000,road freight matching,12,13,13,11,9,6,7,7,78,ADVANCE,Empty-haul rate cut 39% to 35%; profitable network; China risk caps score,02
MBLY,8.54,7260000000,vehicle ADAS and autonomy,13,11,11,10,8,4,7,6,70,CUT,ADAS cuts crash costs but growth stagnant; China erosion; Intel overhang,02
WTCHF,31.08,9750000000,freight forwarding operating software,13,11,11,13,9,6,6,6,75,CUT,Sticky CargoWise moat but ACCC raid; governance churn; organic growth slowing,02
BSY,36.94,11460000000,infrastructure engineering software,14,13,13,12,9,7,7,9,84,ADVANCE,Digital twins cut rework 15% to 1%; M80 saved AU$106M; ARR accelerating,02
IOT,39.84,23220000000,connected fleet operations,13,13,14,10,8,9,8,8,83,ADVANCE,Crashes cut 47-63%; idling -40%; fuel savings 10-15%; 30% ARR growth,02
TTAN,92.23,8800000000,trades contractor operating software,12,8,8,10,7,8,8,7,68,CUT,Grows contractor revenue more than cuts system cost; GAAP losses persist,02
NEMKY,13.63,8700000000,building design and construction software,13,11,10,11,9,7,7,9,77,CUT,Profitable compounder but rework savings unquantified; Autodesk shadow; weaker than Bentley,02
MBRFF,~101 (370 PLN),~$356M (1.30B PLN),hazardous-waste detox,13,13,10,12,9,5,8,8,78,ADVANCE,Permit-moat detox compounder; cleans ecological bombs; Poland-bound capex limits scale velocity,03
TMRAY,~10 (TOM ~103 NOK),~$3.2B (32.3B NOK),container-loop closure,13,14,11,12,9,8,9,8,84,ADVANCE,80% RVM share; legislation wave (Poland/UK DRS); true exportable circular platform,03
TSPCF,~1.52 (AU$2.34),~$3.4B (AU$5.24B),waste collection & recovery,13,10,8,12,8,3,7,8,69,CUT,Australia-only capex-heavy network; landfill-centric circularity partial; no exportable platform,03
WTLLF,~3.30 (255p),~$55M (~£43M),water leak detection & repair,13,12,11,7,7,5,6,7,68,CUT,Real water-loop mission but slow organic growth; thin moat; reacquisition-driven microcap,03
CTLLF,~0.024 (AU$0.037),~$12.8M (AU$19.8M),print & packaging recycling,10,11,5,4,3,2,2,3,40,CUT,Distressed nano-cap; A$105M loss; failed US expansion and takeover; debt near market cap,03
BIRMF,~2.80 (C$3.85),~$44M (C$60M),biological air/odor cleanup,12,11,11,8,8,7,9,7,73,ADVANCE,Record $75.5M backlog; revenue +66%; profitable biofiltration platform hardening wastewater/biogas systems,03
PLPC,412.86,$2.02B,grid & fiber network hardware,14,12,10,10,9,8,9,9,81,ADVANCE,75-yr network-hardening compounder; record Q2 sales +25% EPS +75%; grid/fiber supercycle; global footprint,03
PSSWF,~52 (EUR45.00 offer),~$830M (~EUR710M),grid control software,13,12,10,11,5,5,5,3,64,CUT,Warburg Pincus take-private settled at EUR45 July 2026; delisting imminent; uninvestable,03
LDGYY,12.75,1.5B,smart metering AMI,13,12,11,12,9,4,5,8,74,CUT,Deep AMI moat but revenue shrinking; book-to-bill 0.95; not compounding,04
WSIOF,2.21,2.3B,smart metering AMI China plus emerging markets,13,12,13,10,9,9,9,8,83,ADVANCE,Profit +45%; top State Grid winner; Mexico CFE win; global AMI expansion,04
DLEGF,8.0,94.2B,AI data center and EV power electronics,13,12,12,11,9,9,8,8,82,ADVANCE,Q2 revenue +51%; NVIDIA 800VDC power leader; margin squeeze bears watching,04
ABHBY,6.94,0.3B,smart grid substations storage EV charging,13,13,10,9,7,6,6,6,70,CUT,Storage +88% but 6% EBITDA margin; EV shrinking; Netherlands-centric turnaround,04
HRASF,4.55,6.7B,Italian regulated water waste energy networks,14,13,8,13,9,4,6,7,74,CUT,Quality regulated utility; EBITDA +0.7%; too slow to compound,04
LGRDY,31.32,42B,low-voltage electrical and data center infrastructure,14,11,10,14,10,8,9,9,85,ADVANCE,Standards moat; DC 32% of sales +30%; guidance raised; 21% margins,04
SHLS,6.8,1.2B,solar EBOS plug-and-play wiring,12,13,13,10,8,8,9,7,80,ADVANCE,Record $801M backlog; book-to-bill 1.3; patent moat; US policy risk,04
GNSPF,6.91,1.3B,Australian grid transmission BESS contractor,13,13,7,7,8,8,10,8,74,CUT,Spectacular A$2.2B book but low-moat labor-heavy localized contracting,04
MHGVY,22.66,11.76B,efficient animal protein,13,9,11,11,9,5,8,8,74,ADVANCE,Lowest-FCR protein at scale; cost leader; waste externalities real but improving,05
DAR,66.94,10.06B,animal by-product circularity,13,12,9,12,9,6,8,7,76,ADVANCE,Unmatched rendering collection network; genuine circularity; renewable fuel margins policy-dependent,05
ENGCF,8.5,1.06B,excavator efficiency attachments,11,10,12,10,8,7,7,8,73,ADVANCE,Global tiltrotator leader; proven machine-hour compression; long low-penetration runway outside Nordics,05
OCDGF,3.23,2.9B,grocery fulfillment automation,9,8,7,8,4,3,2,4,45,CUT,Partner CFC closures; no new deals; decades unprofitable; stagnant commercialization,05
PTKFY,9.49,2.06B,affordable medicines nutrition Indonesia,13,9,9,9,9,5,6,9,69,CUT,Quality domestic compounder but import-FX margin squeeze; no global scaling mechanism,05
BMBRF,5.75,9.44B,lowest-cost food retail,14,10,13,9,9,6,8,7,76,ADVANCE,Hard-discount cost leader; affordable food access; proven Morocco-Egypt replication; Turkish FX risk,05
AKASF,10.05,0.46B,aquaculture farming technology,12,11,9,7,7,5,8,6,65,CUT,Thin-margin cyclical project equipment; weak moat vs ScaleAQ; record backlog noted,05
ICCC,11.23,0.09B,antibiotic-free calf immunity,11,11,10,9,7,4,7,5,64,CUT,Niche micro-cap; tiny TAM; Re-Tain shelved; capacity-bound scale velocity,05
PPOKF,0.245,$3.2B,affordable protein,14,8,10,9,9,5,7,8,70,CUT,Commodity poultry cycle; Indonesia-only capex model; earnings swing with feed and chick prices,06
PIFFY,15.38,$5.0B,affordable staple food,13,7,10,11,9,6,6,7,69,CUT,Dominant Indomie brand but salty processed calories; Salim related-party governance overhang; modest system gain,06
FLO,7.17,$1.52B,packaged bakery staple,12,6,6,7,7,3,2,5,48,CUT,Structural bread volume decline; leveraged post Simple Mills; guidance cut; private-label erosion,06
LEGH,28.72,$625M,affordable housing,14,11,12,7,8,6,8,8,74,ADVANCE,Factory-built homes compress housing cost; record Q2 profit; clean balance sheet; captive finance,06
RLLWF,3.19,$2.2B,plumbing repair fittings,13,9,11,9,8,6,4,7,67,CUT,Pending Brookfield cash takeover caps upside; EBITDA fell 13pct on tariffs and copper,06
CODYY,9.58,$46.4B,building materials efficiency,13,11,10,10,9,4,6,9,72,ADVANCE,Global leader in insulation and light construction; energy-saving renovation demand; strong FCF; slow growth,06
GRPRF,0.82,$370M,household water security,14,13,11,10,6,5,5,6,70,CUT,Superb water-resilience mission but revenue stagnant; near-zero earnings; Argentina drag,06
SBDHF,8.9,$1.6B,infrastructure life extension,14,13,12,11,9,4,4,9,76,ADVANCE,Repair-over-rebuild circularity; 17pct net margins prove niche moat; decades of aging-asset demand,06
ECELF,1.57,154M,shelter window systems,12,11,9,7,8,3,5,6,61,CUT,UK-only cyclical building products; flat organic volumes; no global scale path,07
SCTTF,1.68,141M,food processing automation,12,11,12,10,8,6,8,7,74,ADVANCE,Differentiated protein automation; record FY26; backlog +8%; labor-scarcity tailwind,07
IHS,8.31,2.79B,African telecom towers,13,11,11,11,8,4,3,6,67,CUT,MTN take-private at $8.50 approved; delisting soon; no compounding path,07
