ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue,verdict,reason_r2,totalCash,totalDebt,freeCashflow,operatingCashflow,totalRevenue,revenueGrowth,grossMargins,operatingMargins,debtToEquity,sharesOutstanding,floatShares,fullTimeEmployees,earningsGrowth,r3_fin_score,r3_notes,r3_cut,cap,composite
AHICF,"Asahi Intecc Co., Ltd.",21.405,5679267328.0,,Healthcare,,otc,health,26,20,46,,,,Medical Instruments & Supplies,"Asahi Intecc Co., Ltd. engages in the development, manufacture, and sale of medical devices in Japan, the United States, Europe, China, and internationally. The company operates through the Medical and Device segments. It provides percutaneous coronary intervention (PCI) guide wires, guiding catheters, balloon catheters, and penetration catheters for cardiology; peripheral guide wires, IVR guide wires, micro catheters, and cerebrovascular system guide wires for peripheral vascular, abdominal vascular, and cerebrovascular systems; and catheters for angiography. The company also offers OEM ODM service services for medical devices; and medical and industrial components, such as wire rope, coils, coatings, tubes, terminal processing products, synchronous round belt, and flexible shaft. In addition, it develops, manufactures, and sells ultra-fine stainless steel wire ropes. The company was formerly known as Asahi Mini Rope Sales Co., Ltd. and changed its name to Asahi Intecc Co., Ltd. in July 1988. Asahi Intecc Co., Ltd. was incorporated in 1976 and is headquartered in Seto, Japan.",Medical Instruments & Supplies,0.314,0.70449996,145418993664.0,A,dominant guidewires enable minimally invasive cardiac care,64263999488.0,8663000064.0,24220999680.0,40094998528.0,145418993664.0,0.314,0.70449996,0.27910998,4.969,265324323.0,217916173.0,,0.91,24,,,5679267328.0,50
GKOS,Glaukos Corporation Common Stock,181.39,10699096064.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"Glaukos Corporation, an ophthalmic pharmaceutical and medical technology company, develops therapies for the treatment of glaucoma, corneal disorders, and retinal diseases in the United States and internationally. It offers iStent and iStent inject W micro-bypass stents designed to treat mild-to-moderate open-angle glaucoma through the restoration of the natural physiologic outflow pathways for aqueous humor. The company also provides iStent infinite indicated for use in the treatment of patients with glaucoma uncontrolled by prior medical and surgical therapy; and iDose TR, an intracameral procedural pharmaceutical therapy indicated for the reduction of intraocular pressure in patients with open-angle glaucoma or ocular hypertension. In addition, the company develops iLink, a device used for the treatment of keratoconus without the removal of the epithelium; ILution, a platform of cream-based drug formulation applied to the outer surface of the eyelid for drop less transdermal delivery of pharmaceutically active compounds for the treatment of anterior segment eye disorders; and retinal XR platform to treat age-related macular degeneration, diabetic macular edema, retinal vein occlusion, and other posterior segment retinal diseases. It sells its products to ambulatory surgery centers, hospitals, and physician private practices through a direct sales organization, direct sales subsidiaries, and distributors. The company was formerly known as Transdx, Inc. Glaukos Corporation w",Medical Devices,0.495,0.79121,612838976.0,A,micro-stents preserving sight with strong growth,286225984.0,107604000.0,15456250.0,-950000.0,612838976.0,0.495,0.79121,-0.08495,15.766,58983937.0,56810530.0,1094.0,,24,,,10699096064.0,50
BOEUF,Bonesupport Holding AB (publ),23.49,1538263168.0,,Healthcare,,otc,health,26,18,44,,,,Medical Instruments & Supplies,"Bonesupport Holding AB (publ), an orthobiologics company, develops and commercializes injectable bio-ceramic bone graft substitutes in the United States, Europe, and internationally. The company offers CERAMENT Bone Void Filler, an injectable ceramic bone graft substitute that remodels to host bone; CERAMENT G, an injectable ceramic bone graft substitute that remodels to host bone and elutes Gentamicin during the critical first 30 days of bone healing, as well as treats and prevents bone infection; and CERAMENT V, an injectable ceramic bone graft substitute that remodels to host bone and elutes Vancomycin during the critical first 30 days of bone healing, as well as treats and prevents bone infection. It also provides CERAMENT Bead Tray, an adjunctive local delivery option for surgeons desiring targeted delivery to osseous defects and for dead space management. Bonesupport Holding AB (publ) was founded in 1999 and is headquartered in Lund, Sweden.",Medical Instruments & Supplies,0.251,0.92046,,A,antibiotic-eluting bone grafts prevent infection with strong growth,,,146790368.0,,,0.251,0.92046,0.0,1.067,65485875.0,58894585.0,171.0,0.557,24,,,1538263168.0,50
BFLY,Butterfly Network Inc. Class A Common Stock,9.04,2407218176.0,United States,Health Care,Medical Electronics,exchange,health,25,20,45,,,,Medical Devices,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. The company offers Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging on a single handheld probe integrated with the clinical workflow, and accessible on a user's smartphone, tablet, and almost any hospital computer system; Butterfly Move, merging the mobility of a handheld with the stability of a full cart system; and iQ+ Bladder, a specialty product for bladder scanning market. It also provides Compass AI which offers one system to connect every device, workflow, and department; ScanLab, an AI-powered educational platform that provides written walkthroughs and reference imagery to guide real-time educational scanning; and Butterfly iQ+/iQ3 Vet, a third generation handheld ultrasound system. It sells and markets its products through a direct sales force, distributors, and e-commerce channels. Butterfly Network, Inc. was founded in 2011 and is headquartered in Burlington, Massachusetts.",Medical Devices,0.395,0.68158996,112144000.0,A,low-cost handheld ultrasound democratizing imaging access,124659000.0,19097000.0,925625.0,-24019000.0,112144000.0,0.395,0.68158996,-0.30897,10.083,244858246.0,219959550.0,220.0,,24,,,2407218176.0,49
GH,Guardant Health Inc. Common Stock,164.92,22131632128.0,United States,Health Care,Medical Specialities,exchange,health,25,20,45,,,,Diagnostics & Research,"Guardant Health, Inc., a precision oncology company, provides blood and tissue tests, and data sets in the United States and internationally. The company offers Guardant360 CDx test, a liquid biopsy test for tumor mutation profiling; Guardant360 Liquid test, which measures 740+ genes and supports all guideline-recommended biomarkers; Guardant Reveal test, a blood test that utilizes circulating tumor DNA to detect cancer at the molecular level; and Guardant360 Tissue test, a molecular profiling test for tumor tissue that provides genomic, transcriptomic, and epigenomic insights. It also provides Shield blood test for colorectal cancer screening in adults. In addition, the company offers GuardantINFINITY test that provides insights into the complexities of tumor molecular profiles and immune response to advance cancer research and therapy development; GuardantOMNI test covers 500 genes, including genes associated with homologous recombination repair deficiency and biomarkers for immuno-oncology applications; GuardantINFORM, which provides longitudinal biological insight into tumor evolution alongside longitudinal clinical outcomes; and GuardantConnect, an integrated software-based solution designed for clinical and biopharmaceutical customers to connect patients tested with assays with actionable alterations with potentially relevant clinical studies. Further, it provides Smart Platform, which delivers multiomic insights leveraging genomic, epigenomic, and RNA-based data that a",Diagnostics & Research,0.443,0.65012,1183105024.0,A,liquid biopsy guiding cancer therapy with strong growth,1053468992.0,1697012992.0,26607000.0,-185187008.0,1183105024.0,0.443,0.65012,-0.38247,,134196170.0,129391947.0,2490.0,,24,,,22131632128.0,49
NTRA,Natera Inc. Common Stock,336.71,48534786048.0,United States,Health Care,Medical Specialities,exchange,health,25,20,45,,,,Diagnostics & Research,"Natera, Inc., a diagnostics company, engages in the development and commercialization of molecular testing services worldwide. It offers Signatera, a personalized ctDNA blood test for MRD assessment, early recurrence monitoring, and evaluation of treatment response in patients previously diagnosed with cancer; Latitude, a blood-based MRD test for colorectal cancer; Altera, a tissue based comprehensive genomic profiling test; and Empower, a hereditary cancer screening test. The company also provides Panorama, a non-invasive prenatal test; Horizon, a carrier screening test; Fetal Focus, a single-gene NIPT, or sgNIPT, that screens for 21 single-gene inherited conditions; and Vistara, a single-gene NIPT, which screens for 25 single-gene conditions. In addition, it offers Anora, which tests and analyzes miscarriage tissue from women who have experienced one or more pregnancy losses; Empower, a hereditary cancer screening test; Prospera, a test to assess active rejection in patients who have undergone solid organ transplantation; Renasight, a kidney gene panel test; and Constellation software, a cloud-based distribution model. Further, the company provides NateraCore, a platform to support the patient and provider experience; phlebotomy services; and EMR integration services. The company serves independent laboratories, national and regional reference laboratories, medical centers and physician practices for its screening tests, research laboratories, and pharmaceutical companies t",Diagnostics & Research,0.377,0.65230006,2707076096.0,A,cell-free DNA testing scaling prenatal and cancer detection,1091501952.0,238488000.0,104029000.0,228239008.0,2707076096.0,0.377,0.65230006,-0.102910005,13.093,144144170.0,139927953.0,6135.0,,24,,,48534786048.0,49
CP,Canadian Pacific Kansas City Limited Common Shares,94.34,82932334592.0,Canada,Industrials,Railroads,exchange,transport,27,20,47,,,,Railroads,"Canadian Pacific Kansas City Limited, together with its subsidiaries, owns and operates a transcontinental freight railway in Canada, the United States, and Mexico. The transports bulk commodities, including grain, coal, potash, fertilizers, and sulphur; merchandise freight consists of industrial and consumer products, such as forest products, energy, chemicals and plastics, metals, minerals, consumer products, and automotive; and intermodal traffic comprising retail goods in overseas containers. The company also provides rail and intermodal transportation services through a network of approximately 20,000 miles serving business centers. The company was formerly known as Canadian Pacific Railway Limited and changed its name to Canadian Pacific Kansas City Limited in April 2023. Canadian Pacific Kansas City Limited was founded in 1881 and is headquartered in Calgary, Canada.",Railroads,0.126,0.53395003,15448999936.0,A,transcontinental freight rail lowers cost per ton-mile,366000000.0,25147000832.0,2181374976.0,5500000256.0,15448999936.0,0.126,0.53395003,0.38977,52.822,879079224.0,832391326.0,19687.0,-0.135,22,,,82932334592.0,49
MBRFF,Mo-BRUK S.A.,69.25,243267280.0,,Industrials,,otc,water,25,15,40,,,,Waste Management,"Mo-BRUK S.A. engages in the incineration of hazardous waste, including medical and industrial waste in Poland and internationally. The company is also involved in the stabilization and solidification of hazardous and non-hazardous inorganic waste; and production of alternative fuel from sorted municipal and industrial waste, used by cement plants, metal recycling, and waste storage. Mo-BRUK S.A. was founded in 1985 and is headquartered in Korzenna, Poland.",Waste Management,0.326,0.81452006,,A,hazardous waste processing and waste-derived fuel; strong circular economics,,,107180064.0,,,0.326,0.81452006,0.0,70.916,3512885.0,2810238.0,314.0,0.249,24,,,243267280.0,49
MHGVY,Mowi ASA,22.32,11838564352.0,,Consumer Defensive,,otc,food,26,20,46,,,,Farm Products,"Mowi ASA, a seafood company, produces and sells Atlantic salmon products worldwide. It operates through Feed, Farming, Markets, Consumer Products, and other segments. The company is involved in salmon feed production, salmon farming and primary processing, and seafood secondary processing activities. It offers whole fish, plain and marinated fillets and steaks, hot- and cold-smoked salmon, and burgers and patties, as well as breaded, gravad, and sushi products. The company was formerly known as Marine Harvest ASA and changed its name to Mowi ASA in December 2018. Mowi ASA was founded in 1964 and is based in Bergen, Norway.",Farm Products,0.147,0.46194,6115899904.0,A,integrated salmon farming resource-efficient protein at scale,264200000.0,3649799936.0,22450000.0,935400000.0,6115899904.0,0.147,0.46194,0.0189,82.895,527290596.0,393137323.0,12174.0,,22,,,11838564352.0,48
DXCM,DexCom Inc. Common Stock,89.16,33645488128.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems for the management of diabetes and metabolic health in the United States and internationally. The company offers Dexcom G7 and G7 15 Day, an integrated continuous glucose monitoring system; Dexcom G6, a CGM system; Dexcom ONE+ to replace fingerstick blood glucose testing for diabetes treatment decisions; Stelo, a biosensor designed for adults with prediabetes and Type 2 diabetes who do not use insulin; Dexcom Share, a remote monitoring system; and Dexcom Follow application. It markets its products directly to endocrinologists, physicians, and diabetes educators. The company was incorporated in 1999 and is headquartered in San Diego, California.",Medical Devices,0.131,0.62473,4969200128.0,A,continuous glucose monitoring prevents costly diabetes complications,1947000064.0,1398400000.0,1021162496.0,1748700032.0,4969200128.0,0.131,0.62473,0.24327,53.346,377360765.0,375956983.0,11000.0,0.436,22,,,33645488128.0,48
