ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason
LNXGF,0187279 B.C. Ltd.,1e-05,19856.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
REPCF,0913693 B.C. Ltd.,0.0001,7357.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
FLWS,1-800-FLOWERS.COM Inc. Common Stock,3.92,251266053.0,United States,Consumer Discretionary,Other Specialty Stores,exchange,retail,4,15,19,,,
GPI,Group 1 Automotive Inc. Common Stock,264.81,3157124402.0,United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,exchange,transport,8,20,28,,,
FUXA,"1 Finanx AI Technologies, Inc.",1.45,16023495.0,,,,otc,unknown,8,5,13,enrich-if-viable,,
TXG,10x Genomics Inc. Class A Common Stock,64.72,8432444393.0,United States,Industrials,Biotechnology: Laboratory Analytical Instruments,exchange,health,26,20,46,,,
YI,111 Inc. American Depositary Shares,3.8009,33436380.0,China,Consumer Staples,Retail-Drug Stores and Proprietary Stores,exchange,health,12,9,21,,,
CBDW,1606 CORP.,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
YQ,17 Education & Technology Group Inc. American Depositary Shares,2.235,24262463.0,China,Real Estate,Other Consumer Services,exchange,services,6,5,11,,,
LBRA,1847 Holdings LLC,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
BCOW,"1895 Bancorp of Wisconsin, Inc. /MD/",,,,,,sec_only,finance,4,3,7,,check_price,no market data yet - verify trading exists
ISOL,"1mage Software, Inc.",0.0002,165130.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.2M < $10M - fails survivability prior (shell/nano-cap)
OPMZ,"1PM Industries, Inc.",1e-05,26292.0,,,,otc,infrastructure,15,0,15,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ONCH,1RT Acquisition Corp. Class A Ordinary Share,10.31,0.0,United States,,,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business
FNRC,1st NRG Corp.,0.0001,872312.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.9M < $10M - fails survivability prior (shell/nano-cap)
SRCE,1st Source Corporation Common Stock,86.06,2072481946.0,United States,Finance,Major Banks,exchange,finance,5,20,25,,,
DIBS,1stdibs.com Inc. Common Stock,4.48,150596513.0,United States,Consumer Discretionary,Catalog/Specialty Distribution,exchange,retail,5,15,20,,,
OWSCX,1WS Credit Income Fund,,,,,,sec_only,finance,4,3,7,,check_price,no market data yet - verify trading exists
AIDX,20/20 Biolabs Inc. Common Stock,0.5282,6745274.0,United States,Health Care,Precision Instruments,exchange,infrastructure,20,2,22,,reject,market cap $6.7M < $10M - fails survivability prior (shell/nano-cap)
TTBKF,2020 Bulkers Ltd.,0.4337,8734607.0,,,,otc,unknown,8,2,10,enrich-if-viable,reject,market cap $8.7M < $10M - fails survivability prior (shell/nano-cap)
TDOG,21Shares Dogecoin ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
TETH,21Shares Ethereum ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
THYP,21Shares Hyperliquid ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
TSOL,21Shares Solana ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
TSUI,21Shares Sui ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
TOXR,21Shares XRP ETF,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
XXII,22nd Century Group Inc. Common Stock,3.01,2149122.0,United States,Health Care, Medicinal Chemicals and Botanical Products ,exchange,health,20,2,22,,reject,market cap $2.1M < $10M - fails survivability prior (shell/nano-cap)
TWNMF,29Metals Limited,0.174,304513312.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
TCSIF,2CRSI S.A.,12.25,276772960.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
ZGBEF,2G Energy AG,64.1,,,,,otc,energy,20,0,20,,reject,OTC with no market cap data - dark/non-reporting
DMTRF,"3-D Matrix, Ltd.",2.5,319953088.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
MASK,3 E Network Technology Group Ltd Class A Ordinary Shares,1.4,5066719.0,China,Technology,EDP Services,exchange,software,10,2,12,enrich,reject,market cap $5.1M < $10M - fails survivability prior (shell/nano-cap)
TSIOF,361 Degrees International Limited,0.5782,1253353728.0,,,,otc,unknown,8,18,26,enrich-if-viable,,
KRKR,36Kr Holdings Inc. American Depositary Shares,3.1346,6187105.0,China,Consumer Discretionary,Business Services,exchange,services,8,2,10,enrich,reject,market cap $6.2M < $10M - fails survivability prior (shell/nano-cap)
HHHEF,37 Capital Inc.,0.0342,,,,,otc,finance,4,0,4,,reject,sub-5-cent stock - chronic dilution profile
SCWO,374Water Inc. Common Stock,2.37,41992042.0,United States,Consumer Discretionary,Metal Fabrications,exchange,infrastructure,15,9,24,,,
DDD,3D Systems Corporation Common Stock,3.22,534993427.0,United States,Technology,Computer Software: Prepackaged Software,exchange,software,12,18,30,enrich,,
HKRHF,3DG Holdings (International) Limited,0.07,18877014.0,,,,otc,unknown,8,0,8,enrich-if-viable,,
THDS,3DShopping.com,0.0001,1515.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
DDDX,"3DX Industries, Inc.",,,,,,sec_only,infrastructure,15,3,18,,check_price,no market data yet - verify trading exists
TGOPY,3i Group plc,10.07,40230670336.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
TKDG,3KNIGHTS DYNAMICS GROUP Ltd,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
MMM,3M Company Common Stock,179.37,92505129937.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,
PSPW,"3Power Energy Group, Inc.",0.0025,685737.0,,,,otc,energy,20,0,20,,reject,market cap $0.7M < $10M - fails survivability prior (shell/nano-cap)
TRSBF,3SBio Inc.,2.15,5358253056.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
FTPM,"420 Property Management, Inc.",0.0002,79511.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.1M < $10M - fails survivability prior (shell/nano-cap)
FNINF,49 North Resources Inc.,0.015,2494653.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $2.5M < $10M - fails survivability prior (shell/nano-cap)
FDMT,4D Molecular Therapeutics Inc. Common Stock,15.72,868438997.0,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),exchange,health,20,18,38,binary-science-risk,,
FDMDF,4DMedical Limited,2.95,1769803264.0,,,,otc,health,20,18,38,,,
FRDSF,4DS Memory Limited,0.0012,3765006.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $3.8M < $10M - fails survivability prior (shell/nano-cap)
FFNTF,4Front Ventures Corp.,1e-05,9152.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
FRRFF,4imprint Group plc,49.54,1389350656.0,,,,otc,unknown,8,18,26,enrich-if-viable,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,16.15,97018137.0,China,Real Estate,Other Consumer Services,exchange,services,6,12,18,,,
FFFNF,55 North Gold Inc.,0.135,4767497.0,,,,otc,unknown,8,2,10,enrich-if-viable,reject,market cap $4.8M < $10M - fails survivability prior (shell/nano-cap)
FEAV,"5E Advanced Materials, Inc.",0.002,830304.0,,,,otc,infrastructure,15,0,15,,reject,market cap $0.8M < $10M - fails survivability prior (shell/nano-cap)
FEAM,5E Advanced Materials Inc. Common Stock,1.75,72651640.0,United States,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),exchange,materials,10,12,22,commodity,,
