ticker,price,marketcap,need,permanent_need,system_balance,cost_compression,moat,proven_functions,scale_velocity,expansion_signal,survivability,total,verdict,reason,grp,px
NTRA,~$332,~$47B,prenatal + cancer recurrence cfDNA testing,14,13,13,13,9,9,9,9,89,ADVANCE,MRD leader; 38% growth at $2.9B run-rate; cash-positive; spares 82% needless chemo,10,332.0
TSM,417.69,2.17T,leading-edge semiconductor fabrication,14,11,15,15,10,9,9,6,89,ADVANCE,Archetypal cost-compressor; unmatched process moat; computation now civilizational substrate; Taiwan risk noted,7,417.69
INPOY,18.0,8900000000,out-of-home parcel delivery,13,13,14,12,9,9,9,7,86,ADVANCE,Locker density cuts last-mile cost 25%; 800 vs 100 parcels per shift,2,18.0
WAB,300.54,50760000000,locomotives and rail equipment,13,13,13,13,9,8,9,8,86,ADVANCE,Record $30.9B backlog +42%; locomotive duopoly; global platform beats capex-bound rails,1,300.54
UNP,310.62,184530000000,western US freight rail,14,13,13,14,9,6,8,8,85,ADVANCE,Best-in-class OR 59.2%; record intermodal; transcontinental merger upside with execution risk,1,310.62
LGRDY,31.32,42B,low-voltage electrical and data center infrastructure,14,11,10,14,10,8,9,9,85,ADVANCE,Standards moat; DC 32% of sales +30%; guidance raised; 21% margins,4,31.32
AHICF,21.41,6700000000,minimally invasive vascular access,13,12,12,14,9,8,8,9,85,ADVANCE,Craft monopoly in CTO guidewires; enables surgery-avoiding PCI; record FY26 +21%,8,21.41
WST,353.27,$25.5B,injectable drug containment components,14,12,10,14,10,7,8,9,84,ADVANCE,Spec-locked into drug filings; 13% organic growth; GLP-1 and biologics tailwind,12,353.27
BOEUF,23.49,1560000000,antibiotic-eluting bone graft curing bone infection,13,13,14,12,8,8,8,8,84,ADVANCE,Cuts amputations 18% to 2%; saves ~$28k per patient; 91% gross margin,8,23.49
TOELY,184.1,165B,semiconductor production equipment,13,11,14,13,9,8,9,7,84,ADVANCE,Near-monopoly coater/developer; record results; tools drive computation cost curve; cyclical,7,184.1
GH,~$170.73,~$22B,cancer blood screening/monitoring,14,13,12,12,8,9,9,7,84,ADVANCE,FDA-approved blood CRC screen scaling fast; COGS falling toward $200; breakeven 2027,10,170.73
BSY,36.94,11460000000,infrastructure engineering software,14,13,13,12,9,7,7,9,84,ADVANCE,Digital twins cut rework 15% to 1%; M80 saved AU$106M; ARR accelerating,2,36.94
IOT,39.84,23220000000,connected fleet operations,13,13,14,10,8,9,8,8,83,ADVANCE,Crashes cut 47-63%; idling -40%; fuel savings 10-15%; 30% ARR growth,2,39.84
CP,94.71,83190000000,three-nation freight rail,13,13,12,14,9,6,8,8,83,ADVANCE,Only single-line Canada-US-Mexico network; record volumes; UP-NS merger risk looms,1,94.71
HTFL,~$48.94,~$4.3B,AI coronary CT analysis replacing invasive caths,13,13,13,11,7,9,9,7,82,ADVANCE,Noninvasive FFRCT avoids diagnostic caths; 48% growth; 83% margin; cash-positive by 2028,10,48.94
GKOS,189.45,10900000000,dropless glaucoma therapy preventing blindness,13,11,11,13,8,9,9,8,82,ADVANCE,iDose TR fixes drop non-compliance; +50% growth; deep pipeline moat,8,189.45
VCYT,~$41.25,~$2.6B,cancer treatment-decision genomic tests,13,13,12,11,9,7,8,9,82,ADVANCE,Profitable; avoids needless thyroid surgery and prostate overtreatment; new MRD launches,10,41.25
PLPC,412.86,$2.02B,grid & fiber network hardware,14,12,10,10,9,8,9,9,81,ADVANCE,75-yr network-hardening compounder; record Q2 sales +25% EPS +75%; grid/fiber supercycle; global footprint,3,412.86
CAI,~$26.82,~$7.6B,AI whole-exome/transcriptome cancer profiling,13,12,12,12,8,9,8,7,81,ADVANCE,One WES/WTS test replaces sequential panels; FCF positive; $1B run-rate at 45% growth,10,26.82
SSMXY,12.14,7.37B,blood diagnostics analyzers and reagents,14,13,12,14,9,4,6,9,81,ADVANCE,Dominant hematology franchise; recurring reagent moat; big Q1 beat signals recovery,9,12.14
CNI,127.54,76710000000,three-coast freight rail,13,13,12,13,9,6,7,8,81,ADVANCE,Three-coast network; beat-and-raise Q2; cheapest major rail; slower structural growth,1,127.54
DXCM,92.33,34850000000,continuous glucose monitoring standard of care,13,12,12,12,9,7,8,8,81,ADVANCE,CGM duopoly; patent peace with Abbott; raised guidance; prevention economics,8,92.33
