ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue
LNT,Alliant Energy Corporation Common Stock,68.34,17719515136.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Alliant Energy Corporation operates as a utility holding company that provides regulated electric and natural gas services in the United States. It operates through IPL and WPL segments. The company's IPL segment engages primarily in the generation and distribution of electricity and the distribution and transportation of natural gas to retail customers in select markets in Iowa. This segment also sells electricity to wholesale customers in Minnesota, Illinois and Iowa; and generates and distributes steam for two customers in Cedar Rapids, Iowa. Its WPL segment generates and distributes electricity, and distributes and transports natural gas to retail customers in select markets in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in May ",Utilities - Regulated Electric,0.01,0.44502,4429000192.0
AEE,Ameren Corporation Common Stock,106.83,29575165952.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. The company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. It engages in the rate-regulated electric generation, transmission, and distribution business and natural gas transmission and distribution business. The company also generates electricity through coal, nuclear, and natural gas, as well as renewable energy, including hydroelectric, wind, methane gas, and solar energy centers. It serves residential, commercial, and industrial customers. Ameren Corporation was founded in 1881 and is headquartered in Saint Louis, Missouri.",Utilities - Regulated Electric,-0.062,0.52408004,8410999808.0
AVA,Avista Corporation Common Stock,37.75,3161669376.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Diversified,"Avista Corporation, together with its subsidiaries, operates as an electric and natural gas utility company in the United States. It operates through two segments, Avista Utilities and Alaska Electric Light and Power Company (AEL&P). The Avista Utilities segment provides electric distribution and transmission, and natural gas distribution and transmission services in parts of eastern Washington and northern Idaho; and natural gas distribution services in parts of northeastern and southwestern Oregon, as well as generates electricity in Washington, Idaho, Oregon, and Montana. This segment also engages in the supply of electricity to customers in Montana; and wholesale purchase and sale of electricity and natural gas. The Alaska Electric Light and Power Company segment offers electric services in Juneau, Alaska. The company generates electricity through hydroelectric, thermal, wind, and solar generation facilities. As of December 31, 2025, it supplied retail electrical services to approximately 429,000 customers; retail natural gas services to approximately 386,000 customers; and electrical energy to approximately 17,600 customers. The company also operates five hydroelectric generation facilities with a capacity of 102.7 MW; and four diesel generating facilities with a capacity of 107.5 MW. In addition, it engages in venture fund investments, real estate investments, and other investments. The company was formerly known as Washington Water Power and changed its name to Avista ",Utilities - Diversified,0.005,0.66753995,1919000064.0
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,20.47,6127396887.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,21.34,6387818738.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,21.26,6363871901.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
CMS,CMS Energy Corporation Common Stock,68.74,21555292160.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"CMS Energy Corporation operates as an energy company primarily in Michigan. The company operates through three segments: Electric Utility; Gas Utility; and NorthStar Clean Energy. The Electric Utility segment is involved in the generation, purchase, distribution, and sale of electricity. This segment generates electricity through coal, wind, gas, renewable energy, oil, and nuclear sources. Its distribution system comprises 263 miles of high-voltage distribution overhead lines; 4 miles of high-voltage distribution underground lines; 4,619 miles of high-voltage distribution overhead lines; 18 miles of high-voltage distribution underground lines; 82,854 miles of electric distribution overhead lines; 10,027 miles of underground distribution lines; and 1,102 substations. The Gas Utility segment engages in the purchase, transmission, storage, distribution, and sale of natural gas, which includes 2,337 miles of transmission lines; 14 gas storage fields; 28,433 miles of distribution mains; and 8 compressor stations. The NorthStar Clean Energy segment is involved in the independent power production and marketing, including the development and operation of renewable generation. The company serves 1.9 million electric and 1.8 million gas customers, including residential, commercial, and diversified industrial customers. The company was incorporated in 1987 and is headquartered in Jackson, Michigan.",Utilities - Regulated Electric,-0.005,0.40315,8812999680.0
ED,Consolidated Edison Inc. Common Stock,107.09,39604948992.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Consolidated Edison, Inc., through its subsidiaries, engages in the regulated electric, gas, and steam delivery businesses in the United States. The company offers electric services to approximately 3.7 million customers in New York City and Westchester County; gas to approximately 1.1 million customers in Manhattan, the Bronx, parts of Queens, and Westchester County; and steam to approximately 1,490 customers in parts of Manhattan. It also supplies electricity to approximately 0.3 million customers in southeastern New York and northern New Jersey; and gas to approximately 0.1 million customers in southeastern New York. In addition, the company operates 552 circuit miles of transmission lines; 16 transmission substations; 63 distribution substations; 89,675 in-service line transformers; 3,764 pole miles of overhead distribution lines; and 2,417 miles of underground distribution lines, as well as 4,374 miles of mains and 379, 939 service lines for natural gas distribution. Further, it invests in electric and gas transmission projects. The company primarily sells electricity to industrial, commercial, residential, and government customers. Consolidated Edison, Inc. was founded in 1823 and is based in New York, New York.",Utilities - Regulated Electric,0.132,0.53372,17688999936.0
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,22.43,17488720189.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
DUK,Duke Energy Corporation (Holding Company) Common Stock,121.59,94803992576.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Duke Energy Corporation, through its subsidiaries, operates as an energy company in the United States. The company operates through two segments: Electric Utilities and Infrastructure (EU&I); and Gas Utilities and Infrastructure (GU&I). The EU&I segment generates, transmits, distributes, and sells electricity to customers in the Southeast and Midwest regions. It generates electricity through coal, hydroelectric, natural gas, oil, renewables, and nuclear fuel. This segment also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and other load-serving entities. The GU&I segment distributes natural gas to customers in the residential, commercial, industrial, and power generation natural gas sectors; and invests in pipeline transmission projects, renewable natural gas projects, and natural gas storage facilities. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2006. Duke Energy Corporation was founded in 1904 and is headquartered in Charlotte, North Carolina.",Utilities - Regulated Electric,0.011,0.51971,32803000320.0
