ticker,gate,A,B,C1,C2,D_rep,D_inhib,D_exit,E,F_clock,F_now,total,stock,loop,coupling,clock_label,evidence,note,batch,calc,jx,v2_adj,v1,delta
NTRA,pass,16,20,7,6,4,4,3,5,5,4,74,undetected residual cancer burden in post-treatment patients,neutral,neutral,years,Signatera detects recurrence avg 8.7 months (CRC) to 10.5 months (breast) before imaging; Q2-2026 clinical MRD volumes 283k units +56% YoY,Gate pass: FY25 FCF +$104M; $1.09B cash; no customer >10% of revenue. A held at 16 not 17+: stock is real and load-bearing but Panorama/Horizon prenatal segment is screening-adjacent and dilutes the correction; no -3 moat penalty applied because the NeoGenomics RaDaR blocking patents were invalidated Aug-2025 and current defensibility is evidence/guideline-won (FDA CDx bladder; NCCN Cat 1) rather than substitution-blocking. B at top of 15-20 band: lead time is quantified but randomized mortality/cost benefit not yet demonstrated. C1 neutral: demand tracks cancer incidence which Natera does not create; serial surveillance neither damps nor manufactures the problem. C2 6: an oncology system rebalanced toward earlier detection grows Natera rather than shrinking it. E 5: only two CLIA labs (San Carlos + Austin) and single-source sequencing supply; offset by zero customer concentration.,01,74,0,74,89,-15
TSM,pass,18,17,3,4,4,5,2,2,4,4,63,leading-edge logic wafer capacity,amplifying,neutral,years,N2 delivers 25-30% lower power (up to 35% better energy efficiency) at iso-performance vs N3E and entered volume production 2026; TSMC made 12682 products for 534 customers in 2025,Gate pass: NT$730B FCF and NT$2.45T net cash. No -3 moat penalty: the ~90% sub-5nm position was earned by manufacturing difficulty which the rubric credits as neutral rather than substitution-blocking. B held to 17 not the top band because the same wafers draw ~9% of Taiwan electricity (projected ~24% by 2030) and ~150k tonnes water/day so the per-dollar correction to capacity is partly offset by drain on grid and water stocks. C1 amplifying: added compute capacity creates the demand for more compute capacity (Jevons); success does not reduce need. E scored 2: ten largest customers = 78% of 2025 revenue (Nvidia 19%; Apple 17%); overwhelming single-island geographic concentration; single-source EUV supply from ASML. Jurisdiction penalty taiwan-linked -2 applies after total giving 61 effective.,01,63,-2,61,87,-26
WRTBY,pass,18,18,7,6,5,5,3,8,5,4,79,dispatchable grid balancing capacity,neutral,neutral,years,Wartsila engines reach full load from cold start in ~2 minutes with no minimum up/down time; Q2-2026 Energy order intake set an all-time high including >0.5 GW of balancing orders and 1.2 GW of data-centre power,Gate pass: EUR886M FCF; EUR1.67B net cash; H1-2026 order book EUR8.98B. A 18: grid balancing capacity is the rubric's own named example; unambiguously load-bearing and short as variable renewables rise. No moat penalty - defensibility is engineering and installed-base service not substitution-blocking. B 18 not top band: direction is right and the capability delta is quantified but the correction per revenue dollar is diluted because 1.2 GW of the record Q2 Energy intake is gas power for data centres (feeding a load accumulation) and Marine still services the fossil fleet. C1 neutral: balancing demand is driven by renewable penetration Wartsila does not create. C2 6: a rebalanced high-renewable grid still needs firm flexible capacity and the engines are being converted to run on hydrogen (100% H2 engine tested at Bermeo June-2026) so revenue survives rebalancing. E 8 - the highest in this batch: plants are built from many identical gensets giving N+1 redundancy on site; engines are repairable and field-serviceable through a global network; partly offset by centralising manufacturing in Vaasa after the Trieste site went to MSC in Aug-2024. BESS moved into a 50:50 JV with RCT Solutions in Jun-2026 so batteries are now a half-owned adjacency not a core flow.,01,79,0,79,86,-7
WAB,pass,16,16,7,7,4,4,3,6,3,4,70,installed low-carbon freight transport capacity (locomotive fleet and rail throughput),neutral,survives,decades,FLXdrive battery locomotive cut whole-train fuel consumption by >11% over 13320 miles in the BNSF California pilot (~6200 gallons of diesel saved); gen-2 6+ MWh unit targets up to 30%,Gate pass: $1.10B FCF and $30.9B multi-year backlog against $6.28B net debt. A 16 not top band: rail capacity is load-bearing but North American rail is nearer balance than depleted - the deficit is modal share and fleet age not absolute capacity. No -3 moat penalty although aftermarket parts lock-in on proprietary locomotive platforms is a mild version of it. B 16: the quantified 11% figure covers FLXdrive which is still a small share of revenue while the bulk (brakes; PTC; conventional locomotives; aftermarket parts) is neutral-to-modestly-improving so the effect is mixed across segments. C2 7 - the strongest coupling in this batch: if freight rebalances from truck toward rail Wabtec sells more not less. D_rep 4 because much of the growth came by acquisition (GE Transportation; Faiveley; Evident; Dellner) rather than by copying a proven unit. E 6: manufacturing is spread across dozens of inherited plants and customers span freight transit and mining but the North American Class I buying group is only a handful of railroads. F_clock 3: locomotive fleet turnover and rail infrastructure run on a multi-decade cycle even though orders book on a yearly one.,01,70,0,70,86,-16
TSNLF,pass,18,21,8,7,5,5,4,4,5,3,80,sterile-procedure capacity (safe reprocessing of semi-critical medical devices),neutral,survives,years,Peer-reviewed cost-minimisation put Steris automated endoscope reprocessing at $20.58 per event versus a lower figure for Tristel wipes; AER-reprocessed nasopharyngoscopes needed a $2501 repair roughly every 56 cycles with less damage under manual reprocessing,Gate pass: 19.7% op margin; $7.46M net cash; dividend-paying. A 18: sterile-procedure capacity is the rubric's own example and is load-bearing and short. No -3 moat penalty - being the only FDA-cleared chlorine dioxide foam for ultrasound probes is evidence-won approval which the rubric credits as neutral. B 21 = bottom of the top band not the middle: the quantified advantage is solid against capital automated reprocessors but a 2022 community-practice study found Tristel at $11.23 per event versus $5.51 for Cidex-OPA and $4.42 for Revital-Ox so the cheaper-per-decontamination claim holds against AERs and not against every manual chemistry. C1 8: demand tracks procedure volume which Tristel does not create. C2 7: Tristel IS the mechanism of the rebalanced state so revenue survives rebalancing. E cut to 4 - the single worst structural fact here: every Tristel product worldwide is made in ONE 40000 sq ft GMP plant at Snailwell Cambridgeshire (one production site; 100% of revenue behind it) and the entire US opportunity runs through an exclusive single-partner arrangement with Parker Laboratories' New Jersey facility; only the product's own point-of-care distributed nature (no capital equipment; works when central reprocessing fails) lifts it off the 0-1 band. F_now only 3: US royalty income was just GBP108k in FY2025 versus GBP74k in FY2024 and management flags that large health-system purchasing pathways remain complex.,01,80,0,80,85,-5
TMRAY,pass,18,23,6,3,6,4,3,7,5,4,79,beverage-container material kept in circulation,neutral,shrinks,years,Lithuania PET container return rate went from 34% before the deposit scheme to 90% at end-2025; European median PET collection is 87% under DRS versus 50% under curbside and US deposit containers are captured at 67% versus 25% for non-deposit; container litter is 54% lower in deposit regions,Gate pass: $258M FCF and 12% op margin against $640M net debt. A 18 and B 23: material in circulation is the rubric's own named stock and the before/after is cleanly quantified across several national schemes. No -3 moat penalty although the lobby-for-legislation-then-supply-the-machines pattern edges toward regulatory capture. C1 6 - bottom of neutral: DRS legislation is the demand driver and Tomra actively campaigns for it so success does create adjacent demand for itself. C2 is the decisive cut at 3 - this is the Darling Ingredients test: Collection is the largest and fastest-growing segment (Q2-2026 revenue +45% on the Poland rollout) and its revenue requires single-use beverage containers to keep being produced; if packaging rebalanced toward refill and reuse - the direction the EU PPWR reuse targets actually point - the RVM fleet shrinks. Recycling and Food sorting are far less coupled which is the only reason this is not a 1. E 7: RVMs are distributed across thousands of retail sites; modular; locally serviced; refurbished and redeployed between markets - offset by revenue lumpiness that hangs on which single country launches a scheme next.,01,79,0,79,85,-6
UNP,pass,13,14,7,6,1,5,2,1,3,3,55,installed rail freight transport capacity (network right-of-way and fleet),neutral,neutral,decades,UNP moves a ton of freight roughly 480 miles on one gallon of diesel - about 3-4x truck fuel efficiency per ton-mile - but modal share versus trucking has not moved and coal/petroleum/frac sand remain a meaningful revenue share,Gate PASS not fail: the pending UP-NS transaction makes UNP the ACQUIRER not a buyout target so the pending-buyout gate does not bite; STB removed the case from abeyance on 18-Aug-2026 with a schedule running through at least 28-May-2027. A carries the -3 moat penalty: 16 base less 3 = 13. The defensibility is captive shippers with no economically viable alternative routing plus irreplaceable right-of-way - single-source control of a load-bearing stock - and the merger would cut the transcontinental field to two. B 14: direction is right and the efficiency is quantified but the marginal correction per revenue dollar is small because UNP is not winning freight off trucks and the effect is mixed across coal petroleum and frac sand segments. D_rep 1: this is the purest case of growth by enlargement in the batch - one indivisible network getting bigger by acquiring another. E 1 - the lowest in the batch and the clearest example of the behaviour this measure was written to catch: PSR stripped slack out of the system with >2100 locomotives in storage and mechanical maintenance forces cut 17%; unions and shippers argue the network now lacks capacity when volumes grow; the STB record shows PSR efficiencies were retained by shareholders rather than passed to shippers. F_clock 3: rail network capacity turns over on an infrastructure cycle measured in decades.,01,55,0,55,85,-30
LGRDY,pass,15,13,6,6,4,5,2,8,5,4,68,installed electrical distribution and control capacity in buildings and data centres,neutral,neutral,years,Legrand consumption-control products cited at 8-12% building energy saving; but data centres are 32% of H1 2026 revenue and grew >30%,Two-thirds neutral renovation and construction base; one-third data-centre capacity enablement pulls the loop toward amplifying so C1 sits at the floor of neutral. Flow is mixed across segments - saves load in one arm while enabling load growth in the other. 40+ plants in ~90 countries with decentralised local production is a genuine buffer (E=8). H1 2026 sales +17.4% ex-FX and +9.8% organic with guidance raised. Big v1 drop is the loop and flow measures - not survivability.,02,68,0,68,85,-17
AHICF,pass,15,20,7,5,5,5,3,9,5,4,78,hospital open-surgical capacity consumed per coronary revascularization and the catheter-crossable share of vascular occlusions,neutral,neutral,years,CTO-PCI crossing success rose from ~50-60% historically to >90% in expert centres with dedicated guidewires; PCI gives shorter length of stay and fewer in-hospital complications than CABG,FY2026 (ended Jun-2026) net sales Y145.4B +21.2% and operating profit Y45.2B +50.3% with dividend doubled - the batch file financials were nan and its 'requires growth or external capital' proxy is wrong. Moat is manufacturing difficulty (micron torque-coil wire drawing) not blocked substitution so no -3. Best buffer in the batch: three plants (Thailand; Vietnam Hanoi; Philippines Cebu) explicitly cross-qualified so any one can cover the others; 300+ customers in 20 countries. C2 held at 5 because revenue depends on a substantially preventable atherosclerotic disease burden persisting.,02,78,0,78,85,-7
CLPBY,pass,16,21,8,7,5,5,2,4,5,3,76,intact urinary-tract mucosa and infection-free days in lifelong catheter and stoma users,neutral,survives,years,Luja micro-hole catheter randomised crossover trial: residual urine at first flow-stop 39.4 mL to 5.1 mL (p<0.001); flow-stop episodes 1.09 to 0.17; complete emptying in one free flow in 90% of catheterizations,Cleanest quantified before/after in the batch so B reaches the top band. C2=7 because the binding imbalance is under-served patients globally - if access rebalances Coloplast grows. Buffer is the weak point: Hungary is ~80% of global volume production; diversifying via Costa Rica; China and a new Portugal site from 2026. D_exit=2 for single-use plastic and adhesive consumables going to clinical waste. 9M 2025/26 organic +6% with FY guidance 5-6% and a Kerecis guidance cut.,02,76,0,76,84,-8
