ticker,verdict,reason
XVIPF,A,organ perfusion expands usable transplant supply
ALC,A,cataract surgery platform restores sight cost-effectively at scale
BLCO,B,broad eye health but no cost-efficiency differentiation
BLFS,C,supplies ultra-costly cell-therapy industry with no efficiency mechanism
CSTL,B,risk-stratification tests with debated clinical utility
CBLL,A,point-of-care EEG speeds acute seizure diagnosis
CNMD,C,undifferentiated surgical devices with flat growth
COO,B,real lens/fertility business without cost-compression story
FTRE,C,contracting CRO services with weak economics
FRNM,C,unproven early-detection platform with minimal revenue
FLGT,C,commodity lab testing with minimal differentiation
INMD,C,aesthetic procedures not a durable need
LMRI,B,outpatient imaging shifts care to lower-cost setting
PSNL,C,unproven MRD test economics with deep losses
TRUP,C,pet insurance is financial intermediation
WRBY,C,fashion-forward eyewear retail with limited cost advantage
ARHCF,B,essential drug distribution with thin margins
ALMRY,C,me-too dermatology pharma with no efficiency edge
AMFPY,B,hearing-care access retail in price-inflated market
CURLF,C,cannabis retail with addiction economics
DMPHF,A,off-patent branded generics cut drug cost per treatment
DOCS,C,pharma advertising platform not care efficiency
EBOSF,B,diversified health distribution with thin margins
ESAIY,C,premium branded pharma with no efficiency mechanism
GDERF,C,aesthetics-led dermatology not a durable need
GALNF,C,captive pharmacy network with no scalable product layer
RGEDF,B,womens-health pharma access but flat growth
HLBBF,C,me-too CNS pharma premium model
HLNCF,B,essential oral-care and OTC self-care brands
HQY,C,HSA accounts are financial intermediation
HNGE,A,automated MSK care cuts therapy cost per outcome
HYPMY,C,marketing-led consumer OTC brands
IPSEY,C,premium oncology pharma with no efficiency edge
KYKOY,C,premium branded pharma with no efficiency mechanism
MTHRY,C,pharma marketing portal monetizes drug promotion
MAHLY,B,essential drug wholesale with thin margins
MKGAF,B,life-science tools strength within mixed conglomerate
SGIOY,C,branded pharma without differentiation evidence
SGFEF,C,commodity-leaning CDMO with slow growth
SHTDF,C,shrinking thin-margin drug distribution
SZUKF,B,essential drug distribution with thin margins
SWOBY,C,orphan-priced rare-disease model inflates cost
TEM,B,health data platform with unproven cost benefit
ULIHF,C,contracting bulk-drug maker
VEEV,C,pharma sales and marketing SaaS not care delivery
WAY,C,monetizes billing complexity not care
DMTRF,B,novel surgical hydrogel in early commercialization
ADCNF,C,flat commodity lab testing
TKNO,C,undifferentiated small reagent supplier
NNNN,C,tiny IVD maker reliant on COVID kits
ANIK,C,debated-efficacy viscosupplement injections
APYX,C,aesthetics-focused energy devices
RCEL,A,cell spray cuts skin-graft needs in burn care
CLLKF,C,sprawling lab-tool roll-up with weak economics
CARL,B,personalized spine implants early but real
CLVSF,A,automates manual blood-smear analysis in labs
CLHLF,C,contracting dental consumables with no edge
CYBQY,C,stagnant robotics story with weak commercialization
EBRCZ,C,tiny single-device bet with unproven economics
EMBC,C,declining syringe maker in secular contraction
EYPT,C,binary Phase-3 clinical bet
GUTS,C,pre-revenue clinical moonshot
INFU,C,slow-growth pump rental with little differentiation
IMDX,C,minimal shrinking revenue and unproven tests
INPEF,C,fashion eyewear not a durable need
KRMD,A,home subcutaneous infusion cuts care-setting cost
LNSR,C,niche cataract laser versus entrenched leaders
LUCD,C,unproven single test with minimal revenue
MBOT,C,pre-revenue device developer
MOBI,B,FDA-approved stroke-rehab neurostim ramping fast
MNIVF,C,flat fertility services without differentiation
MYGN,C,contracting diagnostics that lost differentiation
EYE,A,discount eye exams and glasses widen vision access
NAUT,C,pre-revenue proteomics platform moonshot
STIM,C,TMS depression devices with slow growth
NPCE,B,responsive epilepsy neurostim for drug-resistant patients
CSSPF,B,point-of-care asthma diagnostics single product
NYXH,B,early sleep-apnea implant challenger growing fast
OSUR,B,decentralized rapid self-testing but flat sales
OFIX,C,undifferentiated spine device mix
PACB,C,shrinking sequencer maker with cash burn
PFGTF,C,collapsing revenue after coverage loss
PDEX,C,small OEM contract instrument maker
PROF,C,slow single-device commercialization
LUNG,C,single product with contracting sales
QTRX,C,niche research tools with losses
REVXF,A,home and point-of-care glaucoma monitoring efficient
RIOXF,C,slow hearing-instruments maker no differentiation
SEER,C,shrinking research-tools startup
SKUNF,C,flat viscosupplement pharma
SI,C,no verifiable description
SGHT,B,implant-free glaucoma surgery devices growing
STAA,B,refractive lens implants for elective vision correction
LAB,C,shrinking research-tools roll-up
STSEY,B,OEM diagnostics automation slow but real
TMCI,C,contracting single-indication orthopedics
TSNLF,A,low-cost device decontamination prevents infections
UTMD,C,contracting niche device maker
VMTHF,C,collapsing revenue and cash concerns
TRSBF,B,commercial China biologics modest growth
ABT,C,no verifiable description
ABBV,C,no verifiable description
ABCL,C,no verifiable description
ABVX,C,no verifiable description
ACAD,C,no verifiable description
ADPT,C,no verifiable description
ADUS,C,no verifiable description
ADMA,C,no verifiable description
AGIO,B,commercial rare-disease drug narrow market
AKESF,B,commercial bispecific oncology at China pricing
AHG,C,e-commerce grab-bag not a health business
ALBHF,B,online pharmacy widens low-cost drug access
AKBLF,A,immunotherapy treats allergy root cause
ALKS,B,addiction and psychiatric injectables improve adherence
ALNY,C,orphan-priced RNAi platform no efficiency mechanism
MO,C,tobacco addiction economics
ALMS,C,clinical-stage binary trial risk
AMGN,C,premium biologics maker efficiency not the model
AMRX,A,generics injectables and biosimilars cut drug costs
RCUS,C,clinical-stage oncology binary risk
ARQT,C,single-franchise premium dermatology launch
ARGNF,C,premium autoimmune biologic pricing
ARGX,C,premium autoimmune biologic pricing
ARRJF,C,hospital equipment slow growth undifferentiated
ARWR,C,pipeline-stage RNAi milestone dependent
IUSDF,C,lab equipment distribution no care efficiency
ASND,C,orphan-priced rare-endocrine model
APNHF,B,emerging-market generics access with soft growth
ALPMY,C,premium branded pharma no efficiency mechanism
AZN,C,premium branded pharma no efficiency mechanism
ASLTY,B,pharma CDMO compresses manufacturing cost
ATAI,C,clinical-stage psychedelics unproven
AUPH,C,single premium lupus drug no efficiency edge
AVAH,A,home care displaces high-cost facilities
AXSM,C,premium CNS pharma standard model
BCHMF,B,peptide API manufacturing scale for metabolic drugs
BDULF,B,hospital operator real but no efficiency evidence
BHC,C,leveraged mixed pharma with aesthetics exposure
BVNRY,A,vaccines prevent disease at low cost per outcome
BBAGF,C,investment fund financial intermediation
BEAM,C,clinical-stage gene editing binary risk
BEIGF,C,premium oncology biologics standard model
ONC,C,premium oncology biologics standard model
TECH,C,research reagents no care-cost mechanism
BCRX,C,orphan-priced rare-disease oral drug
BDSX,B,lung-nodule triage cuts unnecessary procedures
BIOGY,C,probiotic supplements weak evidence of need
BIIB,C,aging premium franchises no efficiency mechanism
BHVN,C,clinical-stage pipeline no products
BMRN,C,orphan-priced rare-disease model
BNTX,C,shrinking COVID franchise oncology unproven
BOIRF,C,homeopathy without real health efficacy
BBIO,C,premium-priced genetic-disease drugs
BTSG,A,home-based pharmacy and care displace facilities
BTSGU,A,home-based pharmacy and care displace facilities
BMY,C,premium branded pharma no efficiency mechanism
BUHPF,B,hospital operator with lower-cost destination care
BNR,C,contracting diagnostics under competitive squeeze
CAMRF,B,long-acting addiction treatment improves outcomes
CASBF,B,pure vaccine maker rebuilding post-COVID
CV,C,tiny slow capsule-endoscopy ramp
CAH,B,essential drug distribution thin margins
COR,B,essential drug distribution thin margins
CERT,B,biosimulation reduces trial cost but flat growth
CGON,C,clinical-stage bladder-cancer bet
CHE,B,hospice lowers end-of-life care cost odd plumbing mix
CHSYF,C,China pharma marketing arm no efficiency edge
CHGCF,C,premium innovative pharma standard pricing model
CTEV,C,monetizes billing complexity not care
COGT,C,clinical-stage binary trial risk
CMPS,C,clinical-stage psychedelic bet
CORT,C,orphan-priced endocrine drug cost inflation
CSMYF,C,general discount retail keyword pharma only
CRNX,C,clinical-stage endocrine binary risk
CRSP,C,early gene editing minimal revenue
CSLLY,B,plasma-derived essential medicines at scale
CHJTF,B,broad low-cost China pharma portfolio growing
CYTK,C,essentially clinical-stage erratic revenue
DSNKY,C,premium oncology pharma standard model
DFTX,C,clinical-stage psychedelic pipeline
DNLI,C,clinical-stage binary trial risk
IRON,C,clinical-stage binary trial risk
RDY,A,integrated generics cut drug cost per treatment
FOCL,B,non-invasive prostate ablation growing niche
EWTX,C,clinical-stage binary trial risk
ELAN,B,farm-animal health supports food-system efficiency
ELMD,B,home airway clearance prevents hospitalizations
LLY,B,diabetes insulin scale but premium obesity pricing
ERAS,C,clinical-stage binary trial risk
EVOTF,C,contracting discovery services weak margins
XGN,B,faster autoimmune diagnosis reduces care delay
EXEL,C,single premium oncology franchise
FMCQF,B,essential dialysis provider slow utility-like growth
WGS,A,genome diagnosis ends costly diagnostic odysseys
GENB,C,clinical-stage AI-biologics story
GMAB,C,premium antibody oncology standard model
GNMLF,C,contracting consumer OTC brands
GNNSF,C,choppy gene-synthesis services no health efficiency
GENSF,A,livestock genetics improve food-production efficiency
GILD,B,antiviral portfolio includes curative HCV and prevention
GDRX,C,monetizes drug-pricing opacity
GIKLY,C,leveraged flat plasma business
GRFS,C,leveraged flat plasma business
GLAXF,C,premium branded pharma no efficiency mechanism
GSK,C,premium branded pharma no efficiency mechanism
HALO,A,subcutaneous conversion cuts infusion time and cost
HNSPF,C,premium China pharma standard model
HRMY,C,single premium narcolepsy product
HAWPY,C,balm brand plus investment holdings
HSTM,B,clinical workforce training software real niche
HKMPY,A,injectable generics lower drug costs
HIMS,B,telehealth access but lifestyle-heavy mix
HMDCF,C,flat China oncology thin economics
HCM,C,flat China oncology thin economics
IDYA,C,clinical-stage binary trial risk
IHHHF,B,multi-country hospital operating platform
IBRX,C,story-stage immunotherapy heavy burn
IMNM,C,clinical-stage zero revenue
INDV,A,opioid-dependence treatment fixes addiction crisis
INCPF,C,single-market oncology no efficiency edge
IVBIY,A,low-cost PD-1 and biosimilars widen cancer-care access
INSM,C,orphan-priced rare-lung model
IONS,C,lumpy royalties premium antisense pricing
IOVA,C,ultra-costly complex cell-therapy model
JAZZ,C,premium-priced CNS portfolio standard model
JDHIY,B,online pharmacy platform widens drug access
JNJ,C,premium diversified pharma no efficiency mechanism
KLRA,C,clinical-stage obesity binary risk
KEQU,C,contracting lab furniture maker
KNSA,C,single premium biologic no efficiency edge
KBYPF,C,mixed household sundries and OTC consumer goods
KOD,C,clinical-stage retina binary risk
KRYS,C,orphan-priced gene therapy cost inflating
KYMR,C,clinical-stage degraders binary risk
LEGN,C,ultra-costly CAR-T model
LFST,B,outpatient mental-health access network thin margins
LGND,C,royalty aggregation financial layer
LQDA,B,inhaled PAH challenger adds price competition
LVZPF,C,contracting China pharma
MDGL,B,first approved MASH therapy addresses epidemic
MRVI,C,post-COVID reagents weak growth
MCK,B,essential drug distribution thin margins
MCVEF,B,multi-country care and diagnostics operator
MEDOF,B,specialty pharmacy supply thin margins
MRK,C,premium branded pharma no efficiency mechanism
MEOBF,C,perennial clinical-stage cell therapy
MESO,C,perennial clinical-stage cell therapy
MLYS,C,clinical-stage hypertension binary risk
MIRM,C,orphan-priced rare-liver drugs
MRNA,C,shrinking COVID franchise heavy cash burn
NBTX,C,clinical-stage nanoparticle bet
NKTR,C,clinical-stage immunotherapy binary risk
NBIX,C,premium CNS pharma standard model
NAMS,C,late clinical-stage binary readouts
